Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,1,0.864321,0.173378,0.210829,0.871202,0.639422,0.166663,0.356012,0.75294,0.591541,0.745897,0.559117,0.70725,0.077214,0.479508,0.057233,0.038121,0.088854,0.158321,0.020419,0.044637,0.065813,0.026524,0.031559,0.131653,0.06783,0.044763,0.032098,0.057407,0.197655,0.125539,0.0539
0.390625,1,0.827555,0.183704,0.187097,0.891457,0.70385,0.20671,0.409397,0.798446,0.714832,0.701046,0.523606,0.794539,0.659417,0.64075,0.745392,0.052887,0.052123,0.039723,0.063115,0.056475,0.046214,0.04389,0.054193,0.042513,0.042252,0.038816,0.063073,0.043367,0.043149,0.047347,0.055734
0.78125,1,0.742507,0.195478,0.179478,0.806574,0.653532,0.19492,0.352574,0.608716,0.663104,0.589816,0.434483,0.734661,0.629186,0.622003,0.71192,0.038411,0.037434,0.012827,0.023004,0.029861,0.024826,0.018365,0.020864,0.014112,0.013646,0.024733,0.031347,0.038557,0.03615,0.032459,0.030453
1.171875,1,0.670802,0.141061,0.119239,0.709166,0.629276,0.192051,0.323181,0.560352,0.615163,0.557385,0.351337,0.655514,0.602022,0.570506,0.668587,0.009868,0.017738,0.018094,0.02464,0.0183,0.012519,0.01791,0.030869,0.014831,0.014054,0.006759,0.009231,0.028062,0.017268,0.008858,0.007393
1.5625,1,0.548408,0.14033,0.101105,0.662056,0.535878,0.194309,0.277355,0.490184,0.520221,0.488991,0.341836,0.569128,0.524495,0.509811,0.581803,0.107905,0.097686,0.196061,0.116992,0.132713,0.126103,0.150646,0.138944,0.124931,0.081285,0.098867,0.113584,0.053805,0.085403,0.10823,0.107457
1.953125,1,0.63044,0.237553,0.219031,0.750539,0.577654,0.254405,0.267781,0.459764,0.609132,0.54828,0.401956,0.579429,0.608617,0.614425,0.648891,0.009599,0.009179,0.012397,0.000385,0.001318,0.003696,0.002044,0.001908,0.006079,0.000245,0.015909,0.001543,0.010779,0.017948,0.010438,0.004358
2.34375,1,0.553911,0.215641,0.217634,0.771072,0.570797,0.212883,0.231497,0.544258,0.581497,0.526065,0.349665,0.637365,0.620865,0.619215,0.677594,0.075089,0.053828,0.160663,0.086538,0.090444,0.083503,0.110472,0.088954,0.098674,0.091114,0.075168,0.074544,0.092972,0.062099,0.074977,0.058636
2.734375,1,0.429329,0.11942,0.091291,0.695831,0.392707,0.134048,0.150744,0.44808,0.441251,0.371438,0.221415,0.541809,0.440492,0.442301,0.518432,0.039253,0.032308,0.01917,0.037465,0.05627,0.039203,0.039327,0.045434,0.046284,0.050628,0.061147,0.05021,0.07039,0.063972,0.047297,0.047445
3.125,1,0.506571,0.132797,0.105157,0.628222,0.475776,0.184601,0.249957,0.374859,0.454455,0.396649,0.244053,0.461425,0.460425,0.466826,0.541334,0.041697,0.044942,0.045804,0.039522,0.042323,0.060073,0.044771,0.032947,0.050794,0.049865,0.052357,0.037678,0.023499,0.054036,0.045753,0.039284
3.515625,1,0.340628,0.022741,0.014208,0.654625,0.266484,0.032709,0.046699,0.449078,0.337216,0.26893,0.09696,0.423505,0.305114,0.342941,0.386868,0.069931,0.058203,0.142949,0.127806,0.101362,0.078406,0.119474,0.120602,0.128043,0.137153,0.048805,0.09645,0.107715,0.046359,0.078878,0.076925
