Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
60.546875,0.004548,0.00485,0.009856,0.001708,0.051588,0.059281,0.059195,0.050615,0.194096,0.191583,0.194356,0.193021,0.98566,0.985517,1,0.937559
60.9375,0.003236,0.00273,0.007759,0.003587,0.049221,0.050147,0.049723,0.048923,0.177642,0.177353,0.178868,0.178325,0.985749,0.985093,1,0.937888
61.328125,0.001482,0.011275,0.012972,0.005125,0.038592,0.04132,0.04117,0.038536,0.186387,0.186539,0.188042,0.187834,0.984992,0.984947,1,0.935342
61.71875,0.001577,0.008988,0.013588,0.000167,0.042028,0.042309,0.042263,0.041431,0.190461,0.190727,0.191983,0.192501,0.984363,0.984568,1,0.931898
62.109375,0.003593,0.003523,0.007441,0.001529,0.038783,0.042754,0.042792,0.038149,0.157445,0.157792,0.158881,0.158722,0.983984,0.984114,1,0.930131
62.5,0.003538,0.003973,0.011714,0.004366,0.041021,0.048285,0.048154,0.040929,0.161597,0.159533,0.162796,0.162034,0.984223,0.984327,1,0.932608
62.890625,0.003404,0.008086,0.009944,0.002813,0.035058,0.041078,0.040961,0.034594,0.153802,0.154036,0.156034,0.15532,0.983401,0.983372,1,0.928595
63.28125,0.004275,0.001576,0.011635,0.004185,0.027837,0.02871,0.028893,0.027117,0.15363,0.153098,0.153577,0.153004,0.983563,0.983191,1,0.928119
63.671875,0.001503,0.005726,0.01407,0.011308,0.040418,0.043698,0.04359,0.039163,0.17972,0.178127,0.179591,0.17899,0.984393,0.984328,1,0.931628
64.0625,0.004263,0.004897,0.007318,0.005746,0.038055,0.038716,0.038799,0.037155,0.167508,0.166876,0.168943,0.168298,0.983387,0.983239,1,0.927702
64.453125,0.003612,0.005344,0.004417,0.002311,0.037252,0.038958,0.038712,0.036783,0.153314,0.153656,0.156043,0.154955,0.983141,0.98307,1,0.926815
64.84375,0.005842,0.004048,0.008096,0.003421,0.029693,0.032901,0.033148,0.029469,0.150137,0.150161,0.150385,0.150866,0.983738,0.983486,1,0.927251
65.234375,0.004388,0.003656,0.013991,0.003676,0.02806,0.030997,0.030956,0.027675,0.149994,0.148674,0.14945,0.149068,0.982475,0.982514,1,0.924506
65.625,0.001729,0.003423,0.009021,0.004704,0.032271,0.033649,0.033803,0.031822,0.144348,0.142898,0.144609,0.143462,0.981509,0.98143,1,0.924076
66.015625,0.005018,0.004132,0.009701,0.001978,0.036266,0.034548,0.034604,0.035918,0.145837,0.145678,0.146137,0.145785,0.982451,0.982274,1,0.926002
66.40625,0.001602,0.001308,0.005028,0.000812,0.032011,0.031356,0.031296,0.031916,0.12469,0.124728,0.123824,0.12437,0.981602,0.981403,1,0.921456
66.796875,0.002751,0.003519,0.008372,0.00233,0.040108,0.04082,0.040958,0.039681,0.137708,0.138485,0.139007,0.139258,0.982541,0.982027,1,0.9231
67.1875,0.001227,0.002919,0.00568,0.000556,0.038498,0.039804,0.039849,0.038045,0.137853,0.138315,0.139172,0.139427,0.981481,0.980765,1,0.91987
67.578125,0.003933,0.003597,0.003475,0.004716,0.036383,0.039302,0.039412,0.036293,0.123899,0.123263,0.12522,0.124429,0.981408,0.981386,1,0.919529
67.96875,0.000717,0.006219,0.007291,0.001213,0.03367,0.031914,0.032147,0.033279,0.133483,0.132763,0.134309,0.134963,0.981763,0.981505,1,0.921945
68.359375,0.003708,0.006355,0.006927,0.00219,0.037304,0.041107,0.041418,0.036765,0.123152,0.123197,0.124009,0.124167,0.981254,0.981134,1,0.921836
68.75,0.003425,0.002134,0.012186,0.002415,0.033806,0.035186,0.035074,0.033608,0.116026,0.116152,0.116904,0.116384,0.980834,0.98076,1,0.91841
69.140625,0.005964,0.003161,0.008872,0.000753,0.041606,0.044754,0.044342,0.04129,0.111877,0.111357,0.113786,0.112462,0.981571,0.980925,1,0.919566
69.53125,0.001748,0.006503,0.007978,0.001102,0.035307,0.038768,0.038464,0.035059,0.129061,0.127019,0.130413,0.128199,0.980699,0.980794,1,0.917264
69.921875,0.002921,0.010528,0.008762,0.00229,0.036551,0.040263,0.040256,0.03555,0.129683,0.128328,0.129903,0.128937,0.981019,0.980945,1,0.920502
70.3125,0.003275,0.009049,0.011603,0.003399,0.034398,0.036659,0.036471,0.033795,0.136179,0.134939,0.134976,0.135338,0.97991,0.979476,1,0.917198
70.703125,0.001448,0.001391,0.005631,0.001298,0.025541,0.030065,0.029959,0.025196,0.114482,0.11341,0.11573,0.114091,0.980129,0.97946,1,0.918096
71.09375,0.00169,0.00188,0.007838,0.004864,0.026579,0.030152,0.029956,0.026837,0.111335,0.109994,0.113405,0.110832,0.981216,0.980807,1,0.921626
71.484375,0.000182,0.002223,0.007922,0.001342,0.021194,0.028831,0.028648,0.02106,0.107038,0.105522,0.108256,0.106387,0.980691,0.979562,1,0.916753
71.875,0.000206,0.003447,0.007639,0.002543,0.031294,0.039531,0.039423,0.030897,0.093729,0.092223,0.093596,0.0925,0.979872,0.979824,1,0.91672
72.265625,0.000197,0.00757,0.006632,0.002945,0.025312,0.0316,0.031749,0.024887,0.106001,0.106307,0.107376,0.107432,0.978899,0.978563,1,0.911576
72.65625,0.001432,0.004324,0.005737,0.001724,0.024082,0.028985,0.028864,0.02381,0.093573,0.094089,0.095904,0.094512,0.979491,0.978231,1,0.913922
73.046875,0.000406,0.002063,0.011485,0.001242,0.019614,0.024796,0.024926,0.019396,0.093951,0.091819,0.094271,0.092524,0.978894,0.978701,1,0.91646
73.4375,0.002803,0.001135,0.00755,0.000577,0.020761,0.021454,0.021629,0.020712,0.07214,0.070171,0.073018,0.071428,0.97837,0.978104,1,0.912168
73.828125,0.00171,0.002854,0.01264,0.001823,0.025413,0.029726,0.029521,0.02551,0.092011,0.090266,0.092142,0.090682,0.978202,0.977819,1,0.91137
74.21875,0.000835,0.002764,0.012468,0.001924,0.01853,0.021573,0.021555,0.018909,0.085675,0.084361,0.084881,0.084734,0.978721,0.978414,1,0.914158
74.609375,0.00306,0.004447,0.010217,0.000708,0.034122,0.033632,0.033529,0.034143,0.093831,0.093522,0.095278,0.094109,0.978929,0.978983,1,0.916332
75,0.004556,0.005398,0.009458,0.002016,0.033491,0.032066,0.031835,0.032888,0.087587,0.087285,0.08886,0.08816,0.978966,0.97876,1,0.917356
75.390625,0.002146,0.007524,0.012063,0.00165,0.029939,0.031926,0.031771,0.029429,0.077723,0.077241,0.079371,0.078445,0.978156,0.977942,1,0.912597
75.78125,0.000734,0.007401,0.01246,0.001326,0.025206,0.029992,0.029893,0.024865,0.07688,0.076265,0.078281,0.077876,0.977877,0.977232,1,0.910262
