Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
0,1,0.009347,0.001389,0.001936,0.010043,0.008271,0.007254,0.006859,0.000861,0.000378,0.00013,0.000286,0.000243,0.000172,0.00006978858,0.00000788876
0.390625,1,0.006156,0.003631,0.001805,0.005443,0.001086,0.000976,0.005648,0.00126,0.005567,0.008301,0.009592,0.002705,0.003804,0.003824,0.005808
0.78125,1,0.003192,0.006096,0.01052,0.001791,0.004473,0.004672,0.001831,0.005746,0.015696,0.023134,0.026806,0.010775,0.013975,0.013131,0.012935
1.171875,1,0.006342,0.021349,0.004114,0.003254,0.002249,0.00219,0.004367,0.007077,0.002537,0.007425,0.010038,0.009125,0.008028,0.007086,0.004512
1.5625,1,0.008345,0.064579,0.003165,0.014407,0.003872,0.003794,0.015325,0.003689,0.000521,0.007142,0.010438,0.006039,0.004831,0.003968,0.002389
1.953125,1,0.034742,0.074934,0.000475,0.021393,0.018126,0.017995,0.022764,0.004729,0.00001937012,0.003278,0.006151,0.006288,0.005445,0.004919,0.005873
2.34375,1,0.019433,0.035639,0.00277,0.0251,0.018859,0.018851,0.026286,0.000114,0.002793,0.007641,0.011333,0.011773,0.012478,0.011019,0.009977
2.734375,1,0.012993,0.056806,0.009322,0.021406,0.023703,0.023556,0.023082,0.00465,0.005656,0.008654,0.010498,0.005612,0.006575,0.00561,0.00493
3.125,1,0.021809,0.059977,0.003152,0.030386,0.035962,0.035792,0.032508,0.01418,0.00647,0.004272,0.003253,0.006316,0.006149,0.00611,0.00653
3.515625,1,0.024056,0.020522,0.001996,0.033351,0.030111,0.029792,0.035655,0.020014,0.011386,0.007322,0.005168,0.007494,0.006902,0.007517,0.008831
3.90625,1,0.012258,0.028647,0.014944,0.016845,0.009521,0.009479,0.016844,0.00958,0.003536,0.000978,0.000234,0.008045,0.007489,0.007915,0.00735
4.296875,1,0.016312,0.037425,0.008571,0.022464,0.007664,0.007745,0.02288,0.004355,0.001154,0.000339,0.000531,0.010166,0.009634,0.009848,0.009605
4.6875,1,0.04381,0.024043,0.005,0.004855,0.004584,0.004643,0.005253,0.000373,0.000802,0.002567,0.00452,0.017202,0.016576,0.016204,0.013822
