Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.103848,0.341104,0.06268,0.000146,0.017985,1,0.241194,0.060881,0.08777,0.041638,0.005375,0.203109,0.453624,0.342522,0.122964,0.460423,0.07268,0.19643,0.280944,0.087487,0.15616,0.187697,0.115859,0.146329,0.344257,0.202163,0.047884,0.040295,0.004113,0.331412,0.331056,0.118447
0.390625,0.026269,0.059308,0.057612,0.045147,0.063807,1,0.035494,0.02967,0.129247,0.071759,0.064869,0.404438,0.070479,0.087471,0.079631,0.04026,0.031688,0.061081,0.080243,0.053476,0.029443,0.06023,0.039255,0.041981,0.088974,0.080006,0.054527,0.024351,0.122961,0.158872,0.091268,0.057105
0.78125,0.116136,0.073246,0.100196,0.053895,0.05002,1,0.087103,0.056735,0.013688,0.069643,0.021993,0.239817,0.1238,0.071878,0.075698,0.05735,0.033128,0.049145,0.081974,0.106003,0.036794,0.06724,0.073965,0.089145,0.108889,0.149296,0.054225,0.047277,0.158387,0.092805,0.06077,0.074139
1.171875,0.129213,0.174061,0.104912,0.047312,0.036381,1,0.113278,0.025254,0.01524,0.11791,0.033188,0.252139,0.119902,0.090356,0.137915,0.156125,0.019822,0.004636,0.079663,0.084003,0.077482,0.05771,0.083178,0.081253,0.105143,0.084797,0.033195,0.049191,0.039581,0.027426,0.050976,0.037589
1.5625,0.04164,0.326701,0.108428,0.069669,0.038165,1,0.162879,0.083336,0.005471,0.101429,0.0839,0.177153,0.125049,0.211491,0.149309,0.12696,0.056335,0.071017,0.02519,0.05864,0.045171,0.03087,0.048284,0.054804,0.033861,0.061342,0.042383,0.041564,0.151293,0.074169,0.030833,0.024209
1.953125,0.064685,0.557716,0.026799,0.007866,0.048094,1,0.07404,0.05708,0.075226,0.023829,0.00778,0.167961,0.083006,0.08095,0.094738,0.236281,0.020794,0.014154,0.034978,0.046434,0.030686,0.032063,0.032346,0.031622,0.039463,0.040877,0.029178,0.029362,0.021213,0.035749,0.024293,0.030835
2.34375,0.067457,0.497202,0.049729,0.038162,0.108861,1,0.055204,0.045311,0.043435,0.037401,0.01454,0.043472,0.204851,0.162839,0.106832,0.084562,0.035847,0.023468,0.061924,0.083848,0.05906,0.037072,0.061447,0.062486,0.055281,0.075138,0.029969,0.048382,0.044628,0.019092,0.036932,0.037548
2.734375,0.045883,0.459195,0.083476,0.063167,0.125044,1,0.044556,0.037925,0.022999,0.11061,0.084963,0.0311,0.220777,0.303322,0.257548,0.14054,0.112072,0.089602,0.161162,0.144961,0.121886,0.107567,0.133993,0.114241,0.138073,0.156411,0.115669,0.113932,0.140582,0.099542,0.092599,0.092008
3.125,0.055045,0.4319,0.135806,0.144284,0.098096,1,0.063437,0.064106,0.031658,0.255544,0.175729,0.0162,0.228916,0.306033,0.324986,0.031244,0.021264,0.008241,0.027042,0.037003,0.036073,0.024585,0.021812,0.021123,0.034491,0.025154,0.031015,0.021412,0.011365,0.024126,0.023343,0.02092
3.515625,0.053754,0.427934,0.103389,0.086134,0.182525,1,0.106968,0.058114,0.091235,0.168467,0.104966,0.046362,0.167642,0.267363,0.192771,0.028922,0.099753,0.078695,0.148016,0.144207,0.111011,0.115813,0.128293,0.137346,0.109703,0.110539,0.04502,0.122821,0.035651,0.022436,0.0876,0.113642
3.90625,0.171782,0.471641,0.260354,0.264095,0.317929,1,0.276544,0.240629,0.248094,0.224519,0.185434,0.282038,0.408847,0.514433,0.177104,0.03453,0.166084,0.173657,0.143551,0.186326,0.147996,0.150862,0.164544,0.174933,0.093823,0.145362,0.095304,0.150882,0.081606,0.073555,0.126456,0.11627
4.296875,0.21662,0.35456,0.249926,0.252812,0.30355,1,0.248844,0.242583,0.2372,0.086014,0.112432,0.17663,0.259075,0.344865,0.097309,0.042568,0.132367,0.113733,0.197677,0.244094,0.165105,0.13883,0.203521,0.233986,0.142256,0.180317,0.062574,0.16416,0.103951,0.022246,0.107603,0.122155
4.6875,0.072964,0.52964,0.160567,0.238354,0.189788,1,0.107025,0.058472,0.107605,0.029326,0.042983,0.04131,0.198341,0.254858,0.09147,0.026312,0.049651,0.035417,0.10628,0.120438,0.060693,0.052302,0.095945,0.109106,0.076358,0.08345,0.014417,0.062727,0.071256,0.003167,0.035411,0.033137
5.078125,0.136095,0.539852,0.366795,0.422909,0.27866,1,0.348972,0.295927,0.423304,0.167956,0.090662,0.220084,0.432356,0.468457,0.095036,0.055442,0.227074,0.202093,0.242792,0.280712,0.240644,0.218815,0.258912,0.282967,0.216997,0.253941,0.139998,0.243788,0.132139,0.085569,0.201858,0.213044
5.46875,0.22026,0.432596,0.402002,0.448057,0.393818,1,0.396144,0.37181,0.477443,0.156475,0.101392,0.256038,0.401591,0.35506,0.121937,0.129506,0.230379,0.20471,0.288517,0.302688,0.27732,0.241383,0.290404,0.304166,0.253245,0.275601,0.157506,0.277094,0.164982,0.075362,0.233405,0.241799
5.859375,0.230754,0.51738,0.503065,0.491656,0.442384,1,0.442594,0.381181,0.367008,0.172096,0.139494,0.291991,0.510399,0.556466,0.202107,0.097975,0.379896,0.363729,0.379085,0.373337,0.398236,0.347514,0.372493,0.369848,0.293813,0.285567,0.293833,0.377554,0.024678,0.216488,0.341719,0.35458
6.25,0.185652,0.60929,0.344547,0.411899,0.353436,1,0.369251,0.323095,0.380107,0.047085,0.158897,0.198225,0.383484,0.4483,0.222618,0.181772,0.215684,0.19185,0.241065,0.237539,0.241175,0.196986,0.246496,0.247161,0.192219,0.142365,0.137445,0.217812,0.051477,0.081599,0.184254,0.182786
6.640625,0.032752,0.654653,0.21102,0.246201,0.199189,1,0.157518,0.166021,0.263461,0.038745,0.074642,0.08428,0.250322,0.336061,0.137687,0.119635,0.106428,0.071306,0.180832,0.172378,0.151787,0.105685,0.176039,0.175211,0.14298,0.127461,0.058306,0.144413,0.102322,0.018227,0.11074,0.111288
7.03125,0.131777,0.588936,0.317479,0.316208,0.391509,1,0.280656,0.276865,0.400763,0.061396,0.118929,0.172618,0.34987,0.325832,0.058335,0.025421,0.266986,0.232039,0.299541,0.299797,0.307311,0.264419,0.299788,0.294344,0.253777,0.211192,0.183618,0.266928,0.151687,0.149059,0.230381,0.243137
7.421875,0.325809,0.582907,0.338086,0.382551,0.400734,1,0.290634,0.257135,0.294837,0.030296,0.247842,0.269921,0.336401,0.275797,0.030279,0.019872,0.24323,0.215916,0.238956,0.266636,0.274074,0.238322,0.268749,0.268651,0.253012,0.225596,0.171874,0.258651,0.058404,0.104792,0.217598,0.233382
7.8125,0.190254,0.59026,0.393388,0.469008,0.364285,1,0.333416,0.270142,0.378916,0.069665,0.084353,0.188454,0.310775,0.411258,0.161981,0.026428,0.26807,0.211594,0.251062,0.28228,0.314023,0.255177,0.299907,0.286369,0.278927,0.224778,0.215567,0.26905,0.060301,0.121273,0.245064,0.210896
8.203125,0.100125,0.591948,0.286533,0.379871,0.295352,1,0.162254,0.110461,0.249375,0.108109,0.110552,0.054698,0.250141,0.337463,0.213155,0.036721,0.1478,0.085011,0.319051,0.274852,0.230628,0.154618,0.264274,0.256522,0.19487,0.133807,0.062089,0.149341,0.071764,0.021485,0.113626,0.086868
8.59375,0.017125,0.633129,0.310462,0.348745,0.237108,1,0.177336,0.119429,0.242786,0.028068,0.049117,0.015588,0.237191,0.409409,0.368959,0.212285,0.273047,0.191167,0.430418,0.409325,0.350852,0.279952,0.388951,0.373425,0.313795,0.269289,0.113735,0.259936,0.089766,0.043582,0.194657,0.161374
8.984375,0.017884,0.58156,0.286317,0.350308,0.257326,1,0.15691,0.106647,0.088893,0.078128,0.078293,0.034548,0.189286,0.281963,0.254189,0.108685,0.081888,0.050262,0.137118,0.135288,0.133594,0.098092,0.145163,0.122574,0.141138,0.126248,0.07544,0.095686,0.027347,0.035509,0.096684,0.056859
9.375,0.025432,0.652074,0.324484,0.35385,0.279547,1,0.191973,0.122051,0.204275,0.07509,0.032766,0.103448,0.377707,0.421762,0.273295,0.102054,0.267796,0.202397,0.25933,0.265834,0.329091,0.239459,0.293891,0.259617,0.24481,0.167508,0.21803,0.236627,0.194536,0.185508,0.237705,0.180168
9.765625,0.045247,0.570711,0.286203,0.349372,0.346375,1,0.221172,0.152191,0.126367,0.061923,0.025346,0.007988,0.328076,0.390453,0.208527,0.105572,0.156008,0.120295,0.228941,0.177245,0.207194,0.166917,0.198869,0.163941,0.183557,0.108103,0.12005,0.136571,0.062717,0.115758,0.129826,0.101416
