Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.346238,0.391641,0.04618,0.026572,0.03128,0.372402,0.301058,0.165333,0.556133,0.000135,0.434967,0.432182,0.387172,0.071216,0.145201,0.430326,0.061375,0.745762,0.905686,0.0000824158,0.100813,0.510226,0.146584,0.185682,0.674879,0.745968,0.112241,0.002149,0.062587,0.855429,1,0.054508
0.390625,0.119587,0.130456,0.031581,0.06814,0.010461,0.221095,0.107797,0.064873,0.199148,0.018623,0.243916,0.147522,0.18168,0.061939,0.044286,0.143492,0.46909,0.829329,0.84821,0.326905,0.535558,0.787074,0.546351,0.524804,0.831267,0.75105,0.565294,0.367072,0.24123,0.83632,1,0.563153
0.78125,0.104185,0.054771,0.054051,0.053139,0.012151,0.051711,0.065602,0.081809,0.075365,0.034729,0.157538,0.081833,0.064842,0.082725,0.0645,0.087159,0.827699,0.847528,0.775002,0.66317,0.835501,0.942101,0.831256,0.780005,0.827809,0.757164,0.878268,0.795949,0.220634,0.777108,1,0.87063
1.171875,0.226983,0.036336,0.059721,0.074092,0.11026,0.021103,0.235732,0.275916,0.372595,0.013145,0.034224,0.224837,0.092761,0.067459,0.033586,0.093767,0.914019,0.86405,0.772661,0.761222,0.914972,0.963116,0.87177,0.844122,0.89235,0.803676,0.934627,0.921705,0.127293,0.797977,1,0.955297
1.5625,0.2896,0.03578,0.125799,0.098461,0.117138,0.016519,0.308771,0.336008,0.408745,0.020017,0.068949,0.232028,0.101761,0.082289,0.033358,0.083567,0.930521,0.889408,0.801426,0.862637,0.940658,0.977154,0.912707,0.877096,0.920791,0.849944,0.946536,0.954972,0.108301,0.813511,1,0.976204
1.953125,0.49653,0.016731,0.304446,0.227224,0.371003,0.112834,0.515197,0.61292,0.582331,0.02723,0.088547,0.401847,0.261749,0.15293,0.039892,0.127469,0.951993,0.911539,0.732039,0.866823,0.949359,0.98347,0.886157,0.889498,0.884888,0.86605,0.951666,0.959999,0.050412,0.781742,1,0.977094
2.34375,0.385503,0.024024,0.294924,0.171681,0.300642,0.125119,0.466994,0.587098,0.580795,0.094185,0.130742,0.415176,0.162886,0.068009,0.002737,0.031013,0.957713,0.907393,0.811148,0.914214,0.966736,0.978108,0.940297,0.9394,0.917399,0.904151,0.966362,0.972963,0.095487,0.824073,1,0.981793
2.734375,0.377292,0.052952,0.201643,0.119442,0.197994,0.152904,0.380882,0.476414,0.545815,0.037834,0.079078,0.424601,0.07619,0.108807,0.047359,0.114871,0.948485,0.899536,0.795247,0.905648,0.971413,0.984752,0.945402,0.935499,0.901607,0.902271,0.968413,0.979009,0.158235,0.850861,1,0.984063
3.125,0.453245,0.174125,0.27428,0.191607,0.260892,0.106026,0.484899,0.500772,0.53741,0.074283,0.066559,0.488789,0.229976,0.199384,0.029272,0.112801,0.953604,0.931219,0.806723,0.939715,0.978071,0.989623,0.953094,0.955312,0.923363,0.912747,0.981392,0.98544,0.184,0.881236,1,0.988402
3.515625,0.319912,0.080665,0.430461,0.367215,0.212513,0.193329,0.56455,0.562696,0.661977,0.338645,0.097274,0.391478,0.279866,0.295421,0.02933,0.059498,0.937874,0.900766,0.723874,0.929742,0.970435,0.985427,0.941,0.9515,0.903702,0.916004,0.966672,0.987042,0.15138,0.825675,1,0.985157
3.90625,0.236151,0.019798,0.418506,0.35933,0.156209,0.168515,0.561496,0.523407,0.701409,0.222751,0.03759,0.456354,0.260062,0.27377,0.018313,0.043813,0.937089,0.896096,0.760468,0.919349,0.977083,0.987827,0.953062,0.937406,0.898294,0.877556,0.964711,0.983369,0.098626,0.842607,1,0.98693
4.296875,0.416039,0.045951,0.356761,0.344439,0.383657,0.137129,0.550672,0.551766,0.607427,0.173396,0.025791,0.534634,0.361212,0.22511,0.047678,0.157771,0.942926,0.903682,0.644819,0.868536,0.961442,0.985062,0.927244,0.907679,0.880405,0.848217,0.964495,0.975806,0.025283,0.835608,1,0.985739
4.6875,0.37039,0.034397,0.310838,0.301773,0.331348,0.164587,0.480103,0.445401,0.578499,0.141338,0.06588,0.475165,0.233121,0.184729,0.01501,0.055282,0.94326,0.913532,0.751452,0.868155,0.967684,0.982661,0.926906,0.893171,0.890164,0.838743,0.96058,0.972649,0.048471,0.813241,1,0.989935
5.078125,0.225581,0.034902,0.265238,0.235714,0.226181,0.050118,0.413365,0.402353,0.59611,0.234002,0.220961,0.422279,0.169372,0.135807,0.113538,0.148784,0.944513,0.915684,0.800904,0.859958,0.970183,0.980363,0.913247,0.879814,0.856169,0.808629,0.943435,0.971645,0.20539,0.755874,1,0.990275
5.46875,0.219729,0.016874,0.282605,0.236812,0.243381,0.102665,0.391243,0.334847,0.558875,0.289344,0.271809,0.427658,0.166932,0.117282,0.111768,0.163456,0.950075,0.907872,0.828373,0.881359,0.973285,0.98108,0.935374,0.907076,0.88313,0.831727,0.946577,0.98473,0.184675,0.751505,1,0.993202
5.859375,0.12572,0.019662,0.215789,0.217917,0.167015,0.264264,0.361821,0.370303,0.471416,0.286982,0.046601,0.269723,0.278125,0.221736,0.012983,0.055669,0.912604,0.839443,0.745944,0.812949,0.965753,0.962855,0.885918,0.859864,0.790215,0.704197,0.929457,0.972729,0.166574,0.643718,1,0.983708
6.25,0.121228,0.105149,0.25314,0.216054,0.204399,0.294006,0.319685,0.341408,0.410792,0.28365,0.034883,0.284235,0.283416,0.255709,0.005663,0.056503,0.931129,0.867862,0.790047,0.840752,0.96292,0.97085,0.90172,0.86615,0.848883,0.761597,0.927431,0.976114,0.156832,0.676176,1,0.984572
6.640625,0.318308,0.121137,0.331691,0.28939,0.248032,0.251301,0.3666,0.427933,0.477499,0.259229,0.004943,0.40272,0.247901,0.249756,0.067263,0.178713,0.952633,0.92797,0.873622,0.907906,0.964855,0.980044,0.942695,0.921226,0.931335,0.881906,0.940045,0.984023,0.323498,0.721945,1,0.987204
7.03125,0.411196,0.264096,0.494365,0.461105,0.344816,0.492897,0.527739,0.553053,0.515192,0.348317,0.028672,0.4348,0.394984,0.490829,0.178172,0.074902,0.970533,0.948154,0.853874,0.888095,0.973493,0.979929,0.934026,0.919363,0.914298,0.876644,0.951469,0.987758,0.353684,0.714629,1,0.987739
7.421875,0.187704,0.025785,0.299451,0.294302,0.164314,0.159349,0.361563,0.370624,0.388474,0.152025,0.013108,0.209361,0.113398,0.1915,0.041557,0.045236,0.929103,0.88734,0.694603,0.79531,0.94936,0.96799,0.857349,0.834729,0.753352,0.723253,0.901185,0.974827,0.078616,0.636166,1,0.976829
7.8125,0.17927,0.057844,0.482266,0.367436,0.154727,0.063414,0.49995,0.501967,0.372863,0.316034,0.034565,0.295101,0.292623,0.43318,0.048547,0.086067,0.872134,0.798829,0.591321,0.770367,0.904459,0.943709,0.827924,0.82621,0.737092,0.721694,0.87807,0.964321,0.065612,0.5396,1,0.967781
8.203125,0.106664,0.040811,0.21943,0.176795,0.138663,0.05401,0.331735,0.28977,0.320517,0.094377,0.051855,0.248906,0.086059,0.148405,0.119164,0.101553,0.931841,0.888686,0.680173,0.797291,0.933086,0.957542,0.867988,0.827879,0.82083,0.766093,0.934373,0.962851,0.120333,0.723598,1,0.977912
8.59375,0.15258,0.005804,0.133095,0.112507,0.135604,0.039219,0.261162,0.293719,0.290699,0.140006,0.049894,0.233168,0.160092,0.056556,0.068029,0.119595,0.925934,0.868858,0.563461,0.74115,0.950674,0.952708,0.838729,0.794327,0.689503,0.65451,0.928201,0.967693,0.260229,0.741308,1,0.97361
8.984375,0.345047,0.018232,0.123007,0.124794,0.289327,0.096737,0.361071,0.407398,0.351973,0.035412,0.100077,0.463301,0.184396,0.027692,0.119204,0.229886,0.937091,0.87626,0.536635,0.725458,0.967239,0.961161,0.847936,0.802308,0.620692,0.574222,0.94652,0.975775,0.458216,0.828203,1,0.979012
9.375,0.215555,0.042537,0.33354,0.241015,0.25263,0.130846,0.398773,0.414241,0.375881,0.10752,0.055483,0.368554,0.180289,0.059813,0.028455,0.036287,0.943284,0.893125,0.604674,0.740423,0.957289,0.95942,0.85229,0.792919,0.670724,0.56669,0.951912,0.972435,0.455497,0.838557,1,0.982836
9.765625,0.095708,0.029321,0.255285,0.233479,0.245111,0.074702,0.317898,0.432497,0.340642,0.044114,0.02111,0.262067,0.118224,0.05419,0.012983,0.008187,0.916743,0.850682,0.58822,0.753627,0.955847,0.957883,0.849384,0.795181,0.736879,0.646966,0.928249,0.965413,0.258653,0.745439,1,0.978719
10.15625,0.251135,0.025625,0.34547,0.308484,0.284164,0.012133,0.373612,0.47184,0.409337,0.181315,0.090241,0.334586,0.115593,0.09611,0.08202,0.103814,0.930612,0.894132,0.672445,0.804025,0.956194,0.962667,0.871912,0.856421,0.74288,0.728144,0.954146,0.980932,0.35171,0.842907,1,0.98672
10.546875,0.199234,0.012084,0.352328,0.318013,0.133281,0.018769,0.329945,0.344621,0.36396,0.144317,0.01699,0.216765,0.078969,0.137828,0.036403,0.066914,0.925421,0.886132,0.660616,0.783398,0.953397,0.959919,0.886982,0.841841,0.744366,0.741574,0.956076,0.982231,0.390768,0.835862,1,0.983302
10.9375,0.313123,0.027555,0.282106,0.31406,0.19032,0.066251,0.419955,0.369891,0.349239,0.074671,0.009962,0.267697,0.129422,0.090988,0.022966,0.017256,0.958581,0.935768,0.787992,0.858189,0.971967,0.972718,0.926186,0.904903,0.887986,0.862149,0.967653,0.987185,0.426127,0.893781,1,0.984099
11.328125,0.17083,0.123238,0.368497,0.349067,0.349995,0.136472,0.424264,0.402005,0.457941,0.077098,0.007163,0.162905,0.221104,0.046852,0.038792,0.025595,0.935624,0.896322,0.708285,0.863351,0.952311,0.965142,0.912425,0.894511,0.820998,0.768797,0.959511,0.983711,0.402174,0.853978,1,0.98622
11.71875,0.048985,0.195337,0.347268,0.379095,0.184429,0.099809,0.366518,0.354246,0.451412,0.069553,0.015831,0.290597,0.300739,0.199877,0.11424,0.00825,0.925014,0.85999,0.754932,0.881592,0.952454,0.957846,0.936076,0.907909,0.802804,0.728801,0.949008,0.976714,0.231719,0.828357,1,0.980752
12.109375,0.086549,0.051596,0.349823,0.241165,0.07513,0.02668,0.372199,0.275221,0.404772,0.1101,0.008432,0.315088,0.170989,0.176691,0.038041,0.028542,0.936786,0.898693,0.720095,0.790168,0.945674,0.949454,0.889723,0.847599,0.773507,0.704827,0.953385,0.978816,0.285578,0.828869,1,0.979355
12.5,0.281441,0.011526,0.386889,0.305392,0.172044,0.037139,0.399613,0.371347,0.332552,0.100377,0.005216,0.435214,0.052909,0.105766,0.024334,0.038462,0.932848,0.881706,0.743076,0.801286,0.938453,0.950206,0.883175,0.845673,0.829033,0.717037,0.93191,0.981382,0.165829,0.762062,1,0.976513
12.890625,0.347096,0.076026,0.405882,0.35333,0.186079,0.165059,0.387959,0.380784,0.375026,0.065805,0.037019,0.300994,0.132935,0.082671,0.001329,0.006809,0.930689,0.863891,0.777133,0.790124,0.949085,0.958593,0.863368,0.820226,0.733066,0.703398,0.935631,0.971907,0.266702,0.793992,1,0.976394
13.28125,0.276442,0.043148,0.235948,0.200831,0.137286,0.101913,0.30056,0.306485,0.370053,0.095616,0.150817,0.279525,0.069437,0.028338,0.019607,0.043537,0.925643,0.885365,0.691453,0.764602,0.955284,0.962766,0.863658,0.790158,0.723558,0.616874,0.946445,0.970006,0.314587,0.842792,1,0.97141
13.671875,0.155745,0.022037,0.156759,0.149422,0.245969,0.046022,0.284129,0.330579,0.25565,0.064625,0.155881,0.365586,0.052383,0.052439,0.026017,0.035699,0.847139,0.77287,0.570177,0.718442,0.932207,0.950167,0.834115,0.747194,0.621585,0.561935,0.914925,0.961266,0.247736,0.712265,1,0.971083
14.0625,0.199264,0.009814,0.176064,0.198094,0.164196,0.054053,0.296577,0.293498,0.209518,0.040989,0.056844,0.184307,0.04751,0.036937,0.022348,0.077729,0.866915,0.783839,0.694627,0.715087,0.940815,0.94426,0.856359,0.787593,0.708417,0.680109,0.903847,0.969876,0.127643,0.645534,1,0.9723
14.453125,0.319457,0.075404,0.21944,0.227645,0.094212,0.023218,0.372395,0.384432,0.28071,0.105392,0.032061,0.188231,0.046372,0.013893,0.073355,0.101143,0.872454,0.816256,0.735658,0.808729,0.952517,0.952511,0.88233,0.819484,0.741193,0.711416,0.920495,0.969443,0.108795,0.690522,1,0.971103
14.84375,0.205367,0.014407,0.199746,0.138111,0.051314,0.055532,0.255639,0.22994,0.270009,0.147469,0.025621,0.260877,0.082716,0.055395,0.04142,0.115208,0.859205,0.780055,0.726431,0.720109,0.93981,0.950995,0.850464,0.744576,0.759187,0.65407,0.910255,0.958956,0.152026,0.656802,1,0.969527
15.234375,0.206475,0.011156,0.22202,0.184367,0.12257,0.048515,0.313791,0.339974,0.268772,0.078622,0.03641,0.265772,0.008334,0.066601,0.051921,0.07516,0.885998,0.822254,0.663169,0.725716,0.928888,0.925849,0.835818,0.745286,0.755518,0.62789,0.919245,0.959539,0.270682,0.734915,1,0.963157
15.625,0.311016,0.062271,0.36475,0.238648,0.23067,0.095092,0.429625,0.459873,0.303723,0.032598,0.00765,0.263953,0.048083,0.099026,0.020534,0.110873,0.903811,0.866436,0.601691,0.752526,0.944394,0.938078,0.865831,0.817094,0.791039,0.681074,0.93246,0.976055,0.417801,0.794464,1,0.964192
16.015625,0.221171,0.049041,0.203957,0.112506,0.050965,0.041572,0.274336,0.327278,0.30879,0.116447,0.007928,0.192843,0.073442,0.040101,0.018805,0.051727,0.909949,0.866691,0.565604,0.71007,0.935069,0.944338,0.815812,0.762465,0.753434,0.706345,0.935594,0.966423,0.373846,0.751694,1,0.97156
16.40625,0.368969,0.027346,0.166519,0.062425,0.068845,0.091643,0.367663,0.386448,0.185187,0.046448,0.010202,0.255673,0.047644,0.010423,0.012205,0.098378,0.908592,0.870308,0.626405,0.720386,0.906228,0.946239,0.832518,0.783546,0.747982,0.652731,0.925935,0.96311,0.360375,0.75513,1,0.974633
16.796875,0.218851,0.053163,0.24527,0.174965,0.095256,0.057655,0.411461,0.458293,0.412486,0.101647,0.020726,0.360172,0.084077,0.019371,0.017203,0.130494,0.890156,0.862764,0.601826,0.772563,0.936903,0.945,0.867064,0.840332,0.791957,0.667635,0.927818,0.969186,0.049336,0.725241,1,0.977755
17.1875,0.210421,0.083152,0.239203,0.215556,0.048659,0.044374,0.326133,0.394793,0.354325,0.096015,0.017058,0.165916,0.063273,0.063718,0.055,0.109707,0.881697,0.856558,0.45738,0.717446,0.929155,0.936596,0.841335,0.816739,0.798831,0.751478,0.944618,0.972315,0.1257,0.796468,1,0.971295
17.578125,0.177303,0.044716,0.242473,0.185245,0.044811,0.048598,0.283907,0.25108,0.209919,0.151169,0.047783,0.111181,0.034406,0.079453,0.119918,0.138268,0.877311,0.831367,0.419979,0.695511,0.914796,0.94609,0.851974,0.814669,0.802653,0.713111,0.916608,0.961146,0.078132,0.68184,1,0.974369
17.96875,0.229836,0.016924,0.217735,0.139867,0.075912,0.027008,0.358584,0.367192,0.419736,0.076265,0.013622,0.351348,0.02588,0.023263,0.051143,0.11737,0.895302,0.830713,0.530019,0.804149,0.953553,0.949142,0.881718,0.864063,0.824499,0.736367,0.922076,0.966834,0.073963,0.665748,1,0.986172
