Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.491075,0.062231,0.050191,0.585776,0.03583,0.326104,0.003976,0.477608,0.000169,0.377342,0.38526,0.104767,0.253304,0.362596,0.416732,0.06313,0.432573,0.703732,0.120015,0.755577,0.679889,0.658548,0.189759,0.063865,0.650271,0.287767,0.333388,0.812658,0.346676,0.206709,0.227492,1
0.390625,0.123387,0.02218,0.184827,0.259168,0.074093,0.082241,0.016373,0.132708,0.173065,0.250336,0.073015,0.15398,0.082975,0.093766,0.221126,0.010021,0.740256,0.732683,0.307711,0.789229,0.781667,0.770933,0.586396,0.460761,0.634896,0.448232,0.716159,0.906094,0.209357,0.248558,0.449213,1
0.78125,0.034033,0.09625,0.04174,0.029304,0.196941,0.115655,0.075952,0.075012,0.404971,0.216896,0.205735,0.329508,0.110057,0.111002,0.162438,0.019312,0.910512,0.850548,0.719926,0.872975,0.921787,0.969338,0.891755,0.836632,0.8563,0.793063,0.94176,0.969413,0.268664,0.715905,0.914889,1
1.171875,0.064291,0.126678,0.170911,0.049767,0.069206,0.080578,0.357456,0.2821,0.404504,0.150001,0.183703,0.231767,0.161132,0.089062,0.152632,0.01532,0.929098,0.852306,0.627168,0.852271,0.933685,0.962653,0.884302,0.884526,0.848706,0.85632,0.935034,0.972976,0.251588,0.72181,0.947223,1
1.5625,0.235222,0.088117,0.326212,0.23458,0.074383,0.061589,0.479994,0.407356,0.586516,0.049992,0.078946,0.233566,0.12787,0.161623,0.003546,0.025919,0.952038,0.893769,0.550616,0.856274,0.942161,0.957001,0.882493,0.899076,0.813099,0.863614,0.943623,0.977765,0.122441,0.80838,0.957765,1
1.953125,0.264788,0.142305,0.294719,0.181969,0.024408,0.01933,0.469244,0.463833,0.612551,0.070307,0.085165,0.264827,0.086287,0.220161,0.033983,0.028617,0.95364,0.932337,0.661345,0.867423,0.941223,0.963815,0.897265,0.90129,0.869716,0.871171,0.949905,0.976311,0.008782,0.838614,0.983546,1
2.34375,0.247282,0.11937,0.21272,0.1512,0.119223,0.086272,0.389607,0.431295,0.585397,0.106771,0.286248,0.396328,0.103046,0.066476,0.041711,0.120275,0.913774,0.872197,0.659996,0.864897,0.938581,0.961398,0.889188,0.891523,0.856911,0.855369,0.940496,0.974564,0.04054,0.798025,0.98004,1
2.734375,0.381601,0.194041,0.256456,0.229075,0.163448,0.183392,0.405389,0.412524,0.672959,0.201873,0.296708,0.521521,0.104619,0.069266,0.037605,0.183833,0.937934,0.913876,0.635316,0.866675,0.952863,0.970626,0.885119,0.900733,0.854145,0.870863,0.967793,0.979206,0.047678,0.883123,0.989279,1
3.125,0.468119,0.211299,0.405345,0.286735,0.302787,0.220171,0.505733,0.520937,0.663163,0.103374,0.052108,0.587646,0.236,0.246875,0.029426,0.065658,0.941203,0.9312,0.691586,0.907041,0.95828,0.970783,0.919886,0.929087,0.879677,0.866409,0.967829,0.983757,0.090918,0.912552,0.983449,1
3.515625,0.421952,0.108362,0.474971,0.414726,0.276069,0.199017,0.622126,0.610215,0.722893,0.221652,0.033058,0.573849,0.224711,0.250075,0.048432,0.084095,0.927711,0.905171,0.742108,0.890704,0.953936,0.966357,0.905735,0.915207,0.881037,0.885669,0.960449,0.980846,0.040579,0.860967,0.983563,1
3.90625,0.351329,0.071867,0.360634,0.282401,0.305375,0.087602,0.532743,0.560046,0.559643,0.094151,0.029751,0.536902,0.13508,0.087432,0.045282,0.162254,0.946902,0.930952,0.839437,0.926474,0.968414,0.976356,0.940093,0.937633,0.917408,0.908581,0.969995,0.983122,0.023715,0.865986,0.987816,1
4.296875,0.308961,0.086139,0.442553,0.409933,0.350001,0.136987,0.660488,0.66039,0.646384,0.155226,0.010432,0.450074,0.24314,0.170831,0.055189,0.068749,0.927643,0.897271,0.771317,0.878636,0.963753,0.956687,0.915566,0.918134,0.877626,0.876983,0.958001,0.980291,0.024602,0.833042,0.986228,1
4.6875,0.128457,0.060869,0.468938,0.426854,0.297198,0.136916,0.604896,0.63069,0.582519,0.306313,0.038549,0.352969,0.327343,0.340521,0.093182,0.016006,0.914035,0.86638,0.688799,0.813496,0.944706,0.957539,0.864267,0.866038,0.849952,0.826337,0.956312,0.970039,0.033673,0.778485,0.98331,1
5.078125,0.138891,0.015447,0.175835,0.141382,0.156516,0.073653,0.325463,0.315043,0.462726,0.225662,0.135118,0.330799,0.131446,0.110597,0.007794,0.061017,0.907513,0.856803,0.652947,0.79074,0.939278,0.948851,0.831692,0.830625,0.78007,0.770676,0.945339,0.949579,0.05076,0.744409,0.981785,1
5.46875,0.205259,0.066902,0.324394,0.293546,0.196175,0.22252,0.418923,0.400136,0.483758,0.171938,0.091725,0.182909,0.1652,0.18405,0.013779,0.007264,0.908438,0.851524,0.75066,0.866793,0.956007,0.964132,0.889045,0.884291,0.81804,0.805493,0.944504,0.967773,0.044975,0.711948,0.985198,1
