Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.154881,0.001427,0.016052,0.317251,0.000185,0.313497,0.006367,0.207221,0.006152,0.071774,0.467671,0.003222,0.143047,0.175803,0.266964,0.048775,0.050106,0.365438,0.009361,0.138066,0.12295,0.079082,0.004459,0.071299,0.151214,0.0000030014,0.026781,0.178331,1,0.109446,0.016419,0.346676
0.390625,0.142737,0.223993,0.265979,0.218779,0.139632,0.081777,0.233087,0.199941,0.018734,0.278293,0.094001,0.105144,0.09135,0.057913,0.311101,0.057476,0.23638,0.36608,0.018446,0.047203,0.087391,0.109557,0.015063,0.01718,0.031561,0.031967,0.23432,0.125096,1,0.111625,0.035749,0.209357
0.78125,0.289,0.292823,0.116618,0.331514,0.13251,0.150661,0.315716,0.299005,0.2239,0.517026,0.16725,0.204654,0.125121,0.043027,0.529155,0.038789,0.28427,0.366692,0.160634,0.244443,0.134792,0.249301,0.188921,0.203019,0.209898,0.258859,0.313894,0.200047,1,0.303204,0.201551,0.268664
1.171875,0.067064,0.13116,0.109559,0.095863,0.091626,0.12007,0.223092,0.149971,0.135334,0.339454,0.094076,0.176258,0.154364,0.009126,0.300818,0.03109,0.249907,0.314099,0.225381,0.27222,0.185739,0.275957,0.270788,0.261765,0.304638,0.289122,0.295558,0.227383,1,0.380003,0.261308,0.251588
1.5625,0.013069,0.069503,0.028341,0.022345,0.035695,0.082119,0.039821,0.035221,0.017811,0.134028,0.071279,0.073791,0.093877,0.032739,0.092601,0.029504,0.190242,0.259307,0.086737,0.107057,0.083779,0.139705,0.092175,0.080813,0.112402,0.077005,0.208557,0.089872,1,0.350484,0.13625,0.122441
1.953125,0.070279,0.080112,0.134281,0.088494,0.109158,0.057607,0.129906,0.121518,0.038872,0.042321,0.043276,0.013941,0.132347,0.034497,0.122093,0.048661,0.023466,0.039412,0.049497,0.049559,0.007316,0.006658,0.042163,0.051902,0.054731,0.06093,0.036177,0.01061,1,0.110204,0.009233,0.008782
2.34375,0.150664,0.143065,0.143166,0.116725,0.169785,0.169783,0.154834,0.173352,0.075378,0.026659,0.033519,0.174,0.133105,0.059017,0.066524,0.048861,0.068163,0.098142,0.048117,0.079258,0.040897,0.044396,0.062559,0.085367,0.07081,0.098428,0.079733,0.052861,1,0.187962,0.038527,0.04054
2.734375,0.053292,0.02665,0.009318,0.009112,0.011237,0.011601,0.014327,0.020758,0.014639,0.033738,0.013632,0.023952,0.011136,0.007964,0.085768,0.05454,0.101861,0.142007,0.012995,0.013003,0.02198,0.046286,0.01131,0.01176,0.017372,0.024637,0.103732,0.023045,1,0.211894,0.050889,0.047678
3.125,0.044194,0.009627,0.010702,0.013642,0.014022,0.007787,0.03962,0.050587,0.037659,0.007751,0.014533,0.016023,0.014992,0.000931,0.122672,0.095558,0.162467,0.172881,0.073767,0.051649,0.088158,0.096032,0.061872,0.044274,0.046704,0.055618,0.14608,0.066262,1,0.218142,0.106172,0.090918
3.515625,0.020043,0.059568,0.002748,0.004782,0.003356,0.058068,0.017389,0.029957,0.028794,0.002919,0.032656,0.013429,0.024445,0.009618,0.041755,0.0531,0.121995,0.147704,0.051609,0.047306,0.053575,0.056804,0.047124,0.041415,0.022127,0.035003,0.103067,0.032323,1,0.22552,0.052422,0.040579
3.90625,0.054777,0.070688,0.089606,0.067991,0.064048,0.050904,0.078795,0.091404,0.138125,0.07674,0.215138,0.067513,0.035784,0.087318,0.101517,0.049831,0.036462,0.047158,0.037672,0.080039,0.029313,0.024151,0.058192,0.081432,0.061237,0.101984,0.017208,0.045136,1,0.080709,0.022522,0.023715
4.296875,0.017509,0.094643,0.089014,0.088936,0.039911,0.032023,0.086769,0.130264,0.061863,0.126091,0.185587,0.01053,0.028707,0.099251,0.108639,0.066683,0.003809,0.006386,0.066833,0.09496,0.030541,0.016903,0.074089,0.091973,0.119836,0.134557,0.010716,0.044312,1,0.081272,0.020589,0.024602
4.6875,0.031283,0.060176,0.10549,0.132878,0.063181,0.029898,0.11843,0.120288,0.194361,0.10583,0.143907,0.076964,0.02619,0.071082,0.17602,0.190028,0.027385,0.028125,0.193803,0.212908,0.06977,0.045552,0.17655,0.188585,0.193769,0.242372,0.008057,0.085082,1,0.088336,0.034482,0.033673
5.078125,0.028229,0.036899,0.05846,0.046827,0.010819,0.022481,0.015967,0.02578,0.18624,0.032145,0.082378,0.028282,0.015329,0.011132,0.076565,0.071531,0.141161,0.186614,0.104581,0.129139,0.063042,0.069059,0.097445,0.115655,0.110537,0.156695,0.112408,0.061469,1,0.315886,0.05974,0.05076
5.46875,0.027665,0.089131,0.049848,0.057202,0.030746,0.096836,0.028182,0.035027,0.15233,0.041863,0.145316,0.031998,0.050151,0.066419,0.137682,0.112445,0.129905,0.162271,0.115475,0.139108,0.066672,0.058602,0.119548,0.142514,0.149648,0.199039,0.076747,0.07193,1,0.264942,0.057285,0.044975
5.859375,0.018505,0.036641,0.010409,0.008864,0.054395,0.044468,0.011404,0.013919,0.092325,0.070902,0.14262,0.017661,0.039163,0.032452,0.071687,0.048759,0.137058,0.183897,0.197363,0.18248,0.07067,0.082081,0.150639,0.160778,0.20467,0.299319,0.109031,0.085409,1,0.323296,0.064219,0.052271
6.25,0.141195,0.016421,0.049878,0.038963,0.113963,0.019532,0.087643,0.077047,0.097313,0.032907,0.041512,0.03949,0.082321,0.04651,0.058755,0.050848,0.134844,0.193316,0.042408,0.059578,0.023681,0.039829,0.029809,0.048361,0.061149,0.13247,0.17592,0.012458,1,0.4453,0.037486,0.044036
6.640625,0.020457,0.079816,0.056811,0.039053,0.01447,0.099148,0.022642,0.027186,0.12514,0.053356,0.021601,0.015081,0.035271,0.070921,0.05128,0.015272,0.070318,0.111525,0.091052,0.151441,0.037421,0.02535,0.094612,0.138776,0.145657,0.202557,0.070335,0.040673,1,0.300317,0.019857,0.021801
7.03125,0.176993,0.068561,0.137704,0.140094,0.016149,0.125971,0.16004,0.156901,0.198037,0.213429,0.042251,0.149283,0.1407,0.195969,0.058851,0.025607,0.133999,0.134911,0.223888,0.248872,0.151508,0.123823,0.212521,0.236085,0.243091,0.280944,0.087864,0.162595,1,0.219338,0.127037,0.12589
7.421875,0.101914,0.100161,0.058527,0.103843,0.028606,0.166295,0.097528,0.105271,0.15646,0.276355,0.046062,0.091987,0.096487,0.176519,0.144852,0.126995,0.196133,0.197388,0.306011,0.274649,0.188356,0.151062,0.254658,0.257619,0.269748,0.267185,0.124661,0.170207,1,0.268947,0.155859,0.129519
7.8125,0.020168,0.132554,0.028608,0.035695,0.006047,0.033973,0.007071,0.001248,0.001071,0.160443,0.065497,0.01668,0.044689,0.063195,0.038949,0.000263,0.082091,0.112817,0.064966,0.062724,0.038427,0.049825,0.046661,0.056339,0.022203,0.042707,0.10462,0.036097,1,0.296213,0.042498,0.043278
