Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.047605,0.093078,0.553932,0.646865,0.476749,0.003915,0.602475,0.513891,0.357671,0.332915,0.030958,0.637187,1,0.653583,0.155112,0.67147,0.002345,0.008465,0.002959,0.011159,0.006609,0.006066,0.007793,0.009686,0.012187,0.010451,0.005132,0.01016,0.001075,0.0000766966,0.018827,0.006141
0.390625,0.144523,0.354096,0.703976,0.706911,0.401656,0.199424,0.712114,0.485166,0.404141,0.398485,0.178693,0.470394,1,0.758034,0.326859,0.624153,0.101636,0.11837,0.127681,0.114078,0.109221,0.124925,0.12409,0.11321,0.13088,0.10666,0.108449,0.113782,0.126912,0.116833,0.110662,0.104937
0.78125,0.097678,0.226571,0.532288,0.54142,0.354513,0.276551,0.614855,0.480503,0.262943,0.226386,0.115814,0.187549,1,0.683561,0.203768,0.362715,0.093831,0.093716,0.116311,0.128513,0.097212,0.121857,0.128444,0.127941,0.149862,0.156556,0.10034,0.115045,0.034543,0.080389,0.108657,0.102128
1.171875,0.057067,0.415476,0.381815,0.377737,0.343442,0.478324,0.483223,0.486108,0.217954,0.119211,0.281146,0.231334,1,0.734737,0.148159,0.316421,0.146645,0.143948,0.183654,0.172708,0.130516,0.154289,0.167792,0.166424,0.142564,0.13049,0.12138,0.137498,0.075881,0.113254,0.124716,0.115821
1.5625,0.022644,0.125684,0.313132,0.270694,0.274874,0.220223,0.384513,0.453262,0.324669,0.061735,0.105504,0.253889,1,0.548069,0.076972,0.183746,0.023705,0.025904,0.07987,0.070371,0.020067,0.028686,0.040734,0.04914,0.030937,0.044211,0.011225,0.015332,0.01574,0.023957,0.007804,0.01071
1.953125,0.282791,0.405748,0.407986,0.341655,0.513137,0.467698,0.42121,0.361787,0.213081,0.214441,0.36402,0.440277,1,0.446088,0.233094,0.296966,0.00771,0.006538,0.020411,0.04139,0.009644,0.009017,0.02118,0.034333,0.019691,0.031457,0.001326,0.008832,0.01021,0.005527,0.002592,0.005044
2.34375,0.172724,0.134642,0.524846,0.431568,0.51982,0.257164,0.547928,0.562323,0.526517,0.020645,0.121878,0.536688,1,0.477346,0.036079,0.359976,0.168776,0.157986,0.152268,0.192936,0.19747,0.192598,0.196105,0.213055,0.21593,0.239695,0.176591,0.215803,0.035788,0.135333,0.203975,0.206335
2.734375,0.033958,0.110509,0.583246,0.514184,0.406531,0.12622,0.633388,0.595995,0.606504,0.107019,0.040503,0.45199,1,0.574553,0.023593,0.254508,0.131292,0.093882,0.207904,0.304006,0.21418,0.175973,0.254446,0.291791,0.287608,0.329401,0.102808,0.233971,0.17215,0.03368,0.196618,0.177031
3.125,0.017889,0.062242,0.43277,0.383965,0.256722,0.075414,0.414224,0.282117,0.223303,0.08255,0.010963,0.264186,1,0.628699,0.052429,0.252994,0.076366,0.078916,0.111681,0.143313,0.077926,0.10369,0.118256,0.140128,0.137989,0.160394,0.075101,0.109408,0.044162,0.060775,0.087246,0.083583
3.515625,0.058609,0.217079,0.453044,0.372346,0.373974,0.292225,0.407304,0.338466,0.303644,0.029705,0.116406,0.289298,1,0.623269,0.048861,0.264174,0.055826,0.055889,0.08082,0.04596,0.041224,0.051486,0.054785,0.050831,0.039365,0.029082,0.04326,0.048716,0.026312,0.030267,0.049407,0.046875
