Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.009316,0.527348,0.409814,0.343005,0.023733,0.019028,0.355549,0.099577,0.142069,0.729258,0.374451,0.128602,0.155112,0.595934,1,0.444358,0.106743,0.052018,0.091385,0.07454,0.12678,0.114621,0.132938,0.120925,0.090212,0.121388,0.123564,0.100622,0.039569,0.052678,0.135196,0.106026
0.390625,0.052097,0.441913,0.433651,0.443993,0.128968,0.193175,0.390793,0.149583,0.163519,0.838964,0.662994,0.044058,0.326859,0.667854,1,0.265025,0.009479,0.014205,0.023394,0.014529,0.018616,0.025665,0.016188,0.016296,0.029662,0.023312,0.019547,0.01396,0.067306,0.039197,0.022005,0.020762
0.78125,0.082332,0.345554,0.14767,0.218364,0.216099,0.175869,0.170613,0.079645,0.04491,0.792069,0.637794,0.106473,0.203768,0.560851,1,0.098006,0.125784,0.140889,0.078855,0.106803,0.122295,0.142479,0.125342,0.132102,0.151098,0.151023,0.143026,0.137412,0.146245,0.159153,0.139798,0.13119
1.171875,0.242643,0.329074,0.07874,0.100476,0.40263,0.28664,0.119142,0.120068,0.129584,0.691825,0.730578,0.282581,0.148159,0.296759,1,0.060619,0.033507,0.02972,0.068182,0.06556,0.038988,0.043887,0.049832,0.055662,0.061305,0.078287,0.030592,0.037219,0.045671,0.037516,0.029405,0.035657
1.5625,0.404937,0.541432,0.1497,0.202113,0.448995,0.441487,0.210298,0.192783,0.038884,0.87763,0.843024,0.280136,0.076972,0.410535,1,0.037374,0.050233,0.060466,0.007791,0.004454,0.023765,0.028888,0.000126,0.000657,0.000491,0.002178,0.089502,0.029469,0.200126,0.146218,0.049479,0.072852
1.953125,0.186265,0.625362,0.185803,0.287091,0.472756,0.536918,0.248829,0.270968,0.13601,0.902146,0.868928,0.279506,0.233094,0.171557,1,0.070048,0.027795,0.022531,0.027829,0.0153,0.036014,0.030602,0.026932,0.018314,0.035048,0.01893,0.037086,0.038182,0.02292,0.03087,0.049569,0.034035
2.34375,0.212133,0.491947,0.007281,0.029311,0.306541,0.453947,0.008871,0.016005,0.02641,0.833289,0.807146,0.17637,0.036079,0.25011,1,0.040678,0.056503,0.05627,0.067893,0.082606,0.06092,0.055575,0.074986,0.080433,0.084674,0.077777,0.045233,0.068912,0.072776,0.024453,0.061658,0.051561
2.734375,0.374497,0.314219,0.035908,0.07963,0.160899,0.290433,0.035968,0.010738,0.020177,0.835601,0.726584,0.142773,0.023593,0.381347,1,0.107329,0.003172,0.002025,0.048918,0.036298,0.019303,0.018101,0.031165,0.026912,0.061868,0.049475,0.010617,0.01761,0.069995,0.014819,0.013816,0.014941
3.125,0.375821,0.221443,0.01967,0.077166,0.193783,0.22446,0.012777,0.056763,0.00477,0.820263,0.770705,0.307958,0.052429,0.409094,1,0.055648,0.010345,0.01202,0.004966,0.006687,0.005606,0.003235,0.004571,0.005822,0.00132,0.001931,0.004651,0.004916,0.006965,0.007964,0.005081,0.006176
3.515625,0.447113,0.148125,0.053171,0.025611,0.340714,0.17408,0.027184,0.076578,0.017366,0.795329,0.70922,0.427428,0.048861,0.332814,1,0.197648,0.054199,0.054592,0.058146,0.067345,0.057042,0.049998,0.077283,0.083049,0.056862,0.045415,0.031277,0.064478,0.00267,0.019453,0.049055,0.045727
3.90625,0.249779,0.314944,0.040869,0.025461,0.350499,0.344111,0.027256,0.041144,0.024984,0.8219,0.741871,0.277348,0.085665,0.359649,1,0.094911,0.119696,0.129493,0.053316,0.072405,0.108166,0.134692,0.07464,0.07532,0.087115,0.091728,0.149934,0.110517,0.123661,0.159436,0.11001,0.132551
4.296875,0.369309,0.22819,0.068302,0.029647,0.291295,0.258907,0.059356,0.070237,0.052949,0.78565,0.632998,0.443806,0.065716,0.256033,1,0.22427,0.046703,0.056665,0.025899,0.024512,0.028791,0.046181,0.021869,0.022552,0.015268,0.025866,0.059722,0.03024,0.092286,0.070872,0.03344,0.04126
