Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
0,0.001655,0.002151,0.118947,0.00974,0.194263,0.135719,0.019267,0.202711,0.054159,0.000375,0.050258,0.107307,0.335839,1,0.22888,0.008808
0.390625,0.011619,0.059952,0.03692,0.019255,0.173183,0.267525,0.02695,0.295863,0.071459,0.040702,0.047706,0.132152,0.295415,1,0.082378,0.189377
0.78125,0.045144,0.072514,0.023441,0.014433,0.220138,0.053014,0.04022,0.145645,0.061261,0.07304,0.195588,0.063548,0.070613,1,0.145473,0.463162
1.171875,0.135054,0.191939,0.051826,0.040725,0.018581,0.087248,0.043714,0.007688,0.21274,0.067166,0.434832,0.092969,0.13265,1,0.270974,0.688885
1.5625,0.189128,0.008891,0.060835,0.109633,0.022904,0.090387,0.022799,0.072286,0.324135,0.235404,0.480636,0.209084,0.114573,1,0.41307,0.652429
1.953125,0.011546,0.002864,0.044453,0.013994,0.183087,0.117195,0.205251,0.152813,0.425318,0.433344,0.464562,0.337065,0.153309,1,0.40981,0.704949
2.34375,0.154191,0.083505,0.046517,0.170257,0.026289,0.078293,0.222569,0.175696,0.537642,0.550823,0.490035,0.438758,0.094906,1,0.407227,0.666374
2.734375,0.151006,0.017317,0.08716,0.021246,0.029488,0.115009,0.031324,0.115438,0.460364,0.373497,0.313062,0.484404,0.024429,1,0.218971,0.532682
3.125,0.02439,0.068648,0.086996,0.009671,0.115874,0.038544,0.024325,0.187654,0.330655,0.29267,0.261171,0.259663,0.100464,1,0.491351,0.649689
3.515625,0.047417,0.070609,0.096075,0.072371,0.064224,0.014857,0.008718,0.120216,0.341376,0.453324,0.390244,0.140434,0.186929,1,0.47708,0.664158
3.90625,0.025225,0.017334,0.05877,0.038475,0.023875,0.089357,0.023938,0.07184,0.291131,0.415732,0.382444,0.095383,0.112262,1,0.484506,0.611274
4.296875,0.040218,0.026554,0.0774,0.018947,0.204667,0.04436,0.132645,0.061711,0.207119,0.319465,0.342096,0.063768,0.018074,1,0.326589,0.450815
4.6875,0.098112,0.145767,0.097495,0.033555,0.081384,0.132914,0.021078,0.043679,0.140438,0.239704,0.267827,0.039691,0.060712,1,0.317748,0.368392
5.078125,0.053275,0.237293,0.066003,0.320788,0.016215,0.056177,0.098244,0.006919,0.56014,0.659034,0.621521,0.333423,0.411538,1,0.741576,0.828357
5.46875,0.03703,0.07323,0.019556,0.186248,0.076329,0.014231,0.032686,0.091707,0.42791,0.517152,0.496532,0.24694,0.218854,1,0.623743,0.742164
5.859375,0.192432,0.041907,0.029048,0.065506,0.012662,0.067169,0.003322,0.040076,0.059587,0.136425,0.180715,0.029039,0.068438,1,0.226902,0.500835
6.25,0.048017,0.112463,0.101265,0.056515,0.04164,0.069256,0.007398,0.040886,0.300228,0.440563,0.444497,0.160986,0.165672,1,0.474098,0.672394
6.640625,0.010573,0.114202,0.064095,0.03117,0.064022,0.022464,0.019266,0.057647,0.560372,0.588622,0.583545,0.472702,0.359697,1,0.434611,0.625667
7.03125,0.057451,0.098673,0.199637,0.029262,0.073583,0.132288,0.046093,0.09571,0.363001,0.430912,0.408622,0.291694,0.262949,1,0.471245,0.676312
7.421875,0.184836,0.07039,0.043493,0.188601,0.148412,0.064139,0.011042,0.090526,0.347368,0.434651,0.349977,0.287364,0.093224,1,0.475541,0.62435
7.8125,0.111003,0.117451,0.006208,0.069277,0.050038,0.091924,0.046052,0.005916,0.344254,0.383583,0.379111,0.251041,0.233305,1,0.543177,0.686105
8.203125,0.16984,0.083037,0.039958,0.061217,0.052199,0.0264,0.062502,0.006907,0.219778,0.234142,0.335602,0.141031,0.110465,1,0.567377,0.714855
8.59375,0.21505,0.103833,0.018533,0.040935,0.066555,0.129318,0.060645,0.096988,0.36493,0.344537,0.458398,0.279641,0.254502,1,0.521717,0.703749
8.984375,0.339736,0.219641,0.041167,0.055364,0.050594,0.13481,0.029766,0.108146,0.225145,0.315381,0.274025,0.162531,0.177078,1,0.510454,0.661551
9.375,0.235185,0.077359,0.102678,0.077583,0.083884,0.209814,0.196282,0.091197,0.195219,0.299241,0.226077,0.119371,0.114274,1,0.444055,0.602168
9.765625,0.052262,0.03812,0.031359,0.102218,0.049119,0.239515,0.427606,0.14782,0.149203,0.222992,0.2249,0.06934,0.183446,1,0.555113,0.700044
10.15625,0.122823,0.00726,0.072992,0.001509,0.042676,0.099214,0.03909,0.046157,0.148125,0.202467,0.301602,0.052225,0.120048,1,0.279218,0.504695
10.546875,0.096876,0.020282,0.056133,0.056881,0.00226,0.052473,0.150375,0.146425,0.099429,0.105569,0.142098,0.094123,0.08458,1,0.311482,0.523393
10.9375,0.078482,0.015798,0.090829,0.008682,0.033099,0.154652,0.012747,0.139188,0.257059,0.256876,0.224408,0.249027,0.130444,1,0.448482,0.610515
11.328125,0.002838,0.133298,0.21273,0.092679,0.078194,0.054147,0.097874,0.060059,0.383352,0.431261,0.332775,0.321522,0.136846,1,0.399104,0.550777
11.71875,0.135822,0.006321,0.146553,0.156158,0.009978,0.157086,0.010666,0.088351,0.700734,0.681529,0.658562,0.651694,0.189405,1,0.453355,0.667436
12.109375,0.046977,0.038841,0.111509,0.099282,0.018231,0.101987,0.035207,0.106271,0.508105,0.40933,0.466505,0.518557,0.077806,1,0.326656,0.646528
12.5,0.030912,0.041254,0.007176,0.038333,0.059819,0.038931,0.014983,0.142362,0.216633,0.209415,0.280692,0.1811,0.041687,1,0.23807,0.584915
12.890625,0.022992,0.062635,0.07094,0.102846,0.107896,0.013549,0.047244,0.098287,0.303762,0.451416,0.183088,0.261089,0.01777,1,0.269924,0.450552
13.28125,0.010808,0.028881,0.090441,0.096947,0.038217,0.042774,0.00763,0.093442,0.188626,0.313501,0.099207,0.150081,0.035046,1,0.34611,0.635505
13.671875,0.004372,0.148755,0.065896,0.191008,0.157978,0.264783,0.029076,0.050855,0.259804,0.402645,0.272123,0.110893,0.024983,1,0.327467,0.607459
14.0625,0.097984,0.043249,0.023485,0.103046,0.077882,0.033939,0.077405,0.05235,0.375715,0.390015,0.390521,0.266873,0.123624,1,0.325212,0.602061
14.453125,0.06603,0.141705,0.073525,0.087754,0.07249,0.015666,0.02222,0.066205,0.378294,0.351239,0.410995,0.251198,0.118687,1,0.311003,0.521351
14.84375,0.101777,0.145998,0.101491,0.12344,0.024771,0.044544,0.03931,0.010746,0.43357,0.533704,0.345403,0.314524,0.116084,1,0.528659,0.667713
15.234375,0.181911,0.312106,0.075584,0.221292,0.102141,0.091986,0.04722,0.030001,0.38014,0.425252,0.403176,0.253524,0.019657,1,0.55299,0.684805
15.625,0.01191,0.152505,0.014903,0.214989,0.015134,0.140123,0.015201,0.081561,0.423416,0.349336,0.423147,0.336079,0.006848,1,0.445023,0.610792
16.015625,0.057764,0.04441,0.073072,0.052703,0.023638,0.02763,0.026116,0.050317,0.357776,0.418991,0.380314,0.173869,0.09782,1,0.553778,0.731704
16.40625,0.0548,0.030809,0.116554,0.028934,0.04235,0.044665,0.132049,0.170255,0.320811,0.348826,0.417687,0.170119,0.063881,1,0.64122,0.770715
16.796875,0.106542,0.102372,0.179599,0.073269,0.033057,0.082921,0.173614,0.022361,0.330406,0.411871,0.372682,0.11484,0.014149,1,0.444803,0.630779
17.1875,0.054868,0.163454,0.155181,0.116305,0.018594,0.04594,0.112331,0.02834,0.442767,0.564738,0.408071,0.280842,0.064139,1,0.510693,0.675705
17.578125,0.118814,0.421089,0.108936,0.255068,0.0863,0.107697,0.014506,0.056834,0.48224,0.64345,0.47694,0.270604,0.157625,1,0.597026,0.770077
17.96875,0.079291,0.060892,0.015904,0.025643,0.016946,0.041965,0.005151,0.020567,0.245533,0.313694,0.257212,0.135303,0.072055,1,0.438218,0.636688
18.359375,0.150471,0.026121,0.026796,0.026839,0.049312,0.041586,0.074569,0.036392,0.439755,0.576674,0.470763,0.211854,0.052582,1,0.354756,0.572631
18.75,0.01926,0.035799,0.015305,0.010385,0.05995,0.040647,0.172475,0.041939,0.445438,0.55031,0.321944,0.366331,0.230964,1,0.417775,0.642894
19.140625,0.054353,0.121724,0.01679,0.071745,0.05457,0.081992,0.049242,0.082857,0.184598,0.280465,0.100488,0.130821,0.061665,1,0.313922,0.530983
19.53125,0.056404,0.078784,0.004258,0.063605,0.058225,0.08393,0.036682,0.043453,0.31546,0.453448,0.182854,0.21824,0.013786,1,0.261829,0.535798
19.921875,0.020337,0.17658,0.020311,0.167672,0.018206,0.038174,0.138589,0.019024,0.375186,0.48092,0.376778,0.222673,0.088031,1,0.517632,0.607361
20.3125,0.05484,0.231987,0.029491,0.350815,0.075758,0.022222,0.018905,0.025157,0.252051,0.399766,0.306724,0.08544,0.083119,1,0.319941,0.485939
20.703125,0.025193,0.120509,0.041781,0.180242,0.139259,0.120325,0.084091,0.128581,0.308739,0.323025,0.274477,0.256984,0.070228,1,0.340266,0.591181
21.09375,0.105149,0.143365,0.055191,0.123824,0.032887,0.165399,0.046877,0.128763,0.403786,0.392459,0.350591,0.299627,0.153754,1,0.544884,0.774892
21.484375,0.084608,0.030543,0.048986,0.119124,0.033608,0.048727,0.008241,0.136197,0.15741,0.183066,0.14149,0.132717,0.152843,1,0.433426,0.675092
21.875,0.025977,0.106024,0.025926,0.209274,0.101094,0.000792,0.050017,0.083965,0.376162,0.375708,0.361058,0.343939,0.159892,1,0.571262,0.759819
22.265625,0.041599,0.171021,0.023298,0.092321,0.016068,0.025461,0.041942,0.02531,0.328857,0.302293,0.274822,0.319821,0.068812,1,0.354025,0.589447
22.65625,0.062289,0.006732,0.020665,0.010349,0.107963,0.091737,0.136391,0.033489,0.189265,0.233912,0.092143,0.213828,0.08027,1,0.410492,0.678115
23.046875,0.068356,0.059957,0.008713,0.051507,0.034125,0.013887,0.088773,0.025889,0.104823,0.115954,0.098425,0.066796,0.055476,1,0.138082,0.405305
23.4375,0.018884,0.143258,0.000599,0.1902,0.133478,0.025891,0.090265,0.038076,0.109281,0.284549,0.258029,0.012119,0.021392,1,0.225645,0.536636
23.828125,0.040897,0.074183,0.119558,0.01298,0.124273,0.076526,0.094519,0.061105,0.046196,0.074038,0.052564,0.072947,0.097106,1,0.060091,0.26801
24.21875,0.036347,0.041519,0.005944,0.062891,0.075642,0.064518,0.020303,0.027792,0.111874,0.195364,0.082117,0.05009,0.024258,1,0.264924,0.526817
24.609375,0.019181,0.014575,0.024532,0.05118,0.018552,0.032488,0.058684,0.031871,0.293746,0.323547,0.261311,0.204502,0.05113,1,0.581715,0.698021
25,0.179861,0.308649,0.084885,0.01918,0.043343,0.031394,0.033362,0.04441,0.41347,0.492163,0.432037,0.206436,0.067702,1,0.511781,0.68547
25.390625,0.188616,0.238302,0.019234,0.014814,0.055104,0.006361,0.097854,0.024231,0.295416,0.384959,0.359988,0.087281,0.098035,1,0.582292,0.75991
25.78125,0.093647,0.074343,0.071827,0.059752,0.084711,0.025236,0.027725,0.120269,0.33282,0.35336,0.292648,0.215953,0.0693,1,0.473095,0.693005
26.171875,0.018686,0.01543,0.065123,0.098764,0.030325,0.028279,0.056886,0.024319,0.45355,0.322932,0.397027,0.376364,0.058359,1,0.611388,0.710136
26.5625,0.057254,0.003815,0.073205,0.03602,0.012521,0.039914,0.072496,0.050731,0.225918,0.187105,0.24464,0.161687,0.038088,1,0.479643,0.654747
26.953125,0.121061,0.011912,0.081048,0.035183,0.008512,0.02222,0.049854,0.020613,0.073156,0.043086,0.038645,0.130949,0.058099,1,0.207292,0.438757
27.34375,0.130561,0.016225,0.048233,0.070254,0.263548,0.021928,0.037025,0.082469,0.213024,0.231911,0.200743,0.100663,0.03878,1,0.120383,0.323616
27.734375,0.058041,0.01981,0.158193,0.026822,0.101126,0.04793,0.130018,0.033147,0.300093,0.297023,0.371373,0.103104,0.086698,1,0.442832,0.747893
28.125,0.042423,0.019973,0.085517,0.059331,0.130762,0.037091,0.190195,0.088448,0.033757,0.065919,0.082254,0.001823,0.023398,1,0.044183,0.384326
28.515625,0.027728,0.06622,0.033134,0.016011,0.123594,0.18989,0.047506,0.077508,0.146941,0.131321,0.139141,0.050889,0.039078,1,0.220371,0.37596
