Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16
14.84375,0.053724,0.106016,0.09662,0.00423,0.26087,0.127982,1,0.110312,0.018796,0.012167,0.051954,0.024837,0.104052,0.03931,0.010192,0.012296
15.234375,0.139227,0.029833,0.019528,0.011004,0.078746,0.124978,1,0.04807,0.00874,0.02042,0.027548,0.00241,0.095468,0.04722,0.041104,0.023178
15.625,0.009567,0.016979,0.04144,0.00273,0.06131,0.101458,1,0.102593,0.015897,0.004222,0.044172,0.0102,0.042928,0.015201,0.026269,0.001301
16.015625,0.119984,0.16603,0.164132,0.059601,0.056223,0.066312,1,0.099662,0.085787,0.03078,0.093959,0.14636,0.072618,0.026116,0.055758,0.017052
16.40625,0.046755,0.05724,0.047013,0.037093,0.107648,0.130506,1,0.196798,0.068241,0.075349,0.06986,0.051196,0.02013,0.132049,0.087642,0.075608
16.796875,0.044087,0.02139,0.1468,0.07259,0.080469,0.204911,1,0.055856,0.031499,0.020934,0.013707,0.081484,0.286475,0.173614,0.054849,0.010364
17.1875,0.103903,0.067237,0.065465,0.023118,0.168601,0.104595,1,0.02379,0.075436,0.091514,0.048049,0.08002,0.183354,0.112331,0.067565,0.029311
17.578125,0.212049,0.014176,0.074299,0.030967,0.238538,0.143636,1,0.014116,0.019403,0.011782,0.022085,0.024937,0.047847,0.014506,0.001797,0.010534
17.96875,0.087974,0.070009,0.104412,0.109937,0.103426,0.123956,1,0.179285,0.146731,0.12607,0.122156,0.166392,0.022902,0.005151,0.014356,0.008464
18.359375,0.134136,0.018174,0.065135,0.171371,0.156544,0.092088,1,0.034848,0.084069,0.094182,0.069572,0.081489,0.058712,0.074569,0.040046,0.060112
18.75,0.047536,0.018475,0.018958,0.087203,0.034624,0.270352,1,0.018184,0.208555,0.148919,0.197791,0.234213,0.186668,0.172475,0.157626,0.220786
19.140625,0.057405,0.007669,0.078214,0.046392,0.252155,0.235557,1,0.087805,0.204749,0.086233,0.150575,0.295178,0.120739,0.049242,0.138424,0.111384
19.53125,0.009197,0.180987,0.242911,0.005019,0.090702,0.234045,1,0.081185,0.009958,0.003653,0.004243,0.024691,0.027086,0.036682,0.065285,0.018342
19.921875,0.030822,0.043712,0.020744,0.009682,0.190612,0.060504,1,0.020333,0.012091,0.02694,0.026559,0.01196,0.04093,0.138589,0.144168,0.12778
20.3125,0.053584,0.068086,0.047314,0.061034,0.240702,0.132314,1,0.053578,0.014708,0.015043,0.018983,0.046651,0.055188,0.018905,0.05199,0.030892
20.703125,0.029732,0.130668,0.012842,0.1337,0.022612,0.173621,1,0.078037,0.066284,0.043191,0.032056,0.104367,0.107999,0.084091,0.101415,0.149876
21.09375,0.009899,0.046476,0.023339,0.049688,0.088009,0.099579,1,0.034402,0.026863,0.023959,0.022077,0.029123,0.213538,0.046877,0.104103,0.112944
21.484375,0.070848,0.117005,0.034864,0.078462,0.188566,0.165479,1,0.271587,0.044271,0.01146,0.030875,0.102883,0.100303,0.008241,0.033974,0.041182
21.875,0.096927,0.037034,0.064363,0.02497,0.232266,0.128031,1,0.262261,0.051673,0.018044,0.042282,0.098442,0.118984,0.050017,0.041092,0.069714
22.265625,0.072969,0.056354,0.033459,0.088772,0.194139,0.337259,1,0.11625,0.024429,0.033029,0.037023,0.018481,0.086905,0.041942,0.033937,0.039115
22.65625,0.067692,0.07388,0.11017,0.062228,0.135557,0.510005,1,0.011089,0.018936,0.025167,0.017291,0.009541,0.100655,0.136391,0.063434,0.094482
23.046875,0.00936,0.018218,0.026698,0.023063,0.077747,0.125751,1,0.018421,0.089461,0.141623,0.153837,0.019592,0.028143,0.088773,0.07038,0.065444
23.4375,0.001504,0.044327,0.044847,0.120161,0.078961,0.1861,1,0.130584,0.035284,0.030366,0.073817,0.102111,0.10504,0.090265,0.072592,0.046602
23.828125,0.290685,0.050137,0.025697,0.05618,0.032761,0.192338,1,0.125416,0.027091,0.059509,0.016127,0.044285,0.101557,0.094519,0.076886,0.088542
24.21875,0.023329,0.047596,0.084389,0.017657,0.110608,0.17247,1,0.014236,0.019886,0.030543,0.01023,0.071924,0.117677,0.020303,0.037223,0.032417
24.609375,0.007239,0.049667,0.025459,0.035969,0.165337,0.225352,1,0.02969,0.036114,0.029281,0.039902,0.040413,0.293742,0.058684,0.149957,0.202664
25,0.083186,0.021864,0.006429,0.026252,0.031663,0.260631,1,0.01433,0.168217,0.057386,0.155115,0.2117,0.013575,0.033362,0.005943,0.008479
25.390625,0.23055,0.023593,0.014129,0.051424,0.076919,0.412356,1,0.072262,0.040178,0.049083,0.052867,0.027173,0.028845,0.097854,0.064954,0.088625
25.78125,0.115726,0.055256,0.069709,0.125749,0.040473,0.291656,1,0.110626,0.094,0.036209,0.12589,0.092045,0.072437,0.027725,0.064315,0.051048
26.171875,0.148356,0.149977,0.07137,0.05545,0.23113,0.076069,1,0.159656,0.005934,0.008495,0.039038,0.020122,0.097744,0.056886,0.03233,0.017199
26.5625,0.035144,0.104569,0.053165,0.15138,0.093526,0.320638,1,0.06214,0.006347,0.046599,0.011599,0.006462,0.043456,0.072496,0.081121,0.058029
26.953125,0.067692,0.053491,0.066094,0.071348,0.06697,0.275408,1,0.039375,0.027555,0.043628,0.053962,0.019654,0.072341,0.049854,0.174723,0.150642
27.34375,0.056994,0.025726,0.054605,0.06206,0.158993,0.224131,1,0.002419,0.056302,0.06505,0.020777,0.074409,0.003766,0.037025,0.013796,0.003569
27.734375,0.023709,0.078613,0.092203,0.043022,0.114922,0.073465,1,0.062135,0.169296,0.145293,0.171796,0.107843,0.046826,0.130018,0.102439,0.126797
28.125,0.191068,0.157644,0.050733,0.056435,0.148243,0.03518,1,0.030295,0.162159,0.062748,0.091477,0.191811,0.048974,0.190195,0.05329,0.072763
28.515625,0.050171,0.066415,0.006688,0.036229,0.212768,0.018243,1,0.098716,0.08097,0.108564,0.061994,0.03788,0.056347,0.047506,0.108307,0.096884
28.90625,0.067713,0.049173,0.040185,0.030707,0.162232,0.200202,1,0.012036,0.035714,0.08692,0.028366,0.024664,0.090756,0.18114,0.161797,0.165626
29.296875,0.086162,0.096744,0.08016,0.035212,0.049678,0.288768,1,0.018432,0.004954,0.028121,0.006786,0.036658,0.044852,0.155964,0.017362,0.029818
29.6875,0.010954,0.071417,0.118094,0.15352,0.244949,0.085997,1,0.101486,0.097233,0.050137,0.087753,0.082551,0.042842,0.064056,0.022014,0.049589
30.078125,0.082984,0.071537,0.098422,0.182125,0.348249,0.187831,1,0.058651,0.054653,0.083041,0.045243,0.027431,0.076531,0.009099,0.016367,0.02436
30.46875,0.264832,0.134861,0.019513,0.086334,0.169995,0.069987,1,0.036873,0.026722,0.110463,0.059023,0.032155,0.161217,0.017323,0.092265,0.081635
30.859375,0.17051,0.023593,0.025018,0.024598,0.120392,0.161005,1,0.02858,0.205497,0.130746,0.178867,0.101784,0.048801,0.030004,0.08562,0.091972
31.25,0.187949,0.124961,0.050338,0.068149,0.009303,0.140751,1,0.069181,0.028448,0.056353,0.029831,0.007046,0.023089,0.029591,0.131378,0.089288
31.640625,0.094952,0.185219,0.138864,0.104024,0.142772,0.023906,1,0.146535,0.062637,0.037465,0.029298,0.118781,0.035843,0.06711,0.167325,0.129278
32.03125,0.035744,0.113297,0.126199,0.171116,0.03382,0.061849,1,0.116849,0.052775,0.05438,0.022644,0.053469,0.02796,0.054299,0.086024,0.01918
32.421875,0.049773,0.012726,0.105583,0.045824,0.226751,0.375224,1,0.145826,0.121273,0.169517,0.117524,0.084233,0.01781,0.126376,0.143604,0.078301
32.8125,0.149543,0.119643,0.038484,0.11102,0.074885,0.295641,1,0.023274,0.071234,0.124781,0.067231,0.030962,0.07902,0.260272,0.168935,0.092958
