Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,1,0.059301,0.296392,0.241999,0.725598,0.039951,0.368952,0.659278,0.297104,0.001106,0.001465,0.36684,0.001555,0.000312,0.022871,0.218897,0.046998,0.063976,0.006027,0.014925,0.024632,0.033252,0.010366,0.013259,0.022741,0.019046,0.041503,0.040878,0.079989,0.085924,0.044659,0.056858
0.390625,1,0.062417,0.370411,0.24396,0.578275,0.044009,0.507511,0.539777,0.283884,0.011015,0.117045,0.357596,0.059749,0.032167,0.03081,0.148541,0.023594,0.02275,0.029774,0.026961,0.020273,0.023435,0.020477,0.02341,0.02974,0.030447,0.015626,0.025178,0.009899,0.021743,0.020006,0.030314
0.78125,1,0.097363,0.263296,0.187816,0.630219,0.171737,0.43808,0.545896,0.086547,0.082916,0.334974,0.455675,0.00554,0.065931,0.201616,0.101118,0.02857,0.027606,0.076089,0.068275,0.031324,0.053157,0.053296,0.053397,0.075473,0.10689,0.031093,0.039055,0.021664,0.033643,0.035944,0.037817
1.171875,1,0.315777,0.316141,0.247744,0.60831,0.308776,0.352651,0.342512,0.063762,0.189083,0.536242,0.537736,0.014847,0.042913,0.294034,0.223004,0.064219,0.072446,0.051621,0.032712,0.047062,0.054237,0.037111,0.025897,0.018297,0.025282,0.065712,0.034209,0.089759,0.088515,0.044351,0.039254
1.5625,1,0.29537,0.519175,0.416756,0.753166,0.337652,0.502524,0.458638,0.242105,0.191132,0.451771,0.665349,0.095875,0.02998,0.27369,0.442253,0.068472,0.071157,0.033999,0.029855,0.051947,0.058032,0.037282,0.033408,0.035464,0.029349,0.088575,0.051234,0.075237,0.091355,0.069944,0.064372
1.953125,1,0.480219,0.637027,0.611798,0.742693,0.555149,0.510117,0.333765,0.404759,0.380329,0.707357,0.713844,0.116472,0.058998,0.591774,0.664978,0.231897,0.216591,0.158867,0.159883,0.22117,0.199575,0.182892,0.181535,0.16688,0.129776,0.216014,0.213468,0.10198,0.181583,0.221604,0.221387
2.34375,1,0.401334,0.562118,0.462837,0.74257,0.546814,0.54594,0.429243,0.360118,0.40252,0.65852,0.761288,0.03638,0.155355,0.64017,0.547713,0.143512,0.147923,0.131461,0.140053,0.12638,0.146529,0.141598,0.145708,0.142517,0.150593,0.131569,0.144029,0.012152,0.10387,0.142017,0.129095
2.734375,1,0.448839,0.705076,0.690212,0.764178,0.553941,0.682793,0.536419,0.502764,0.292768,0.648307,0.788838,0.187358,0.172741,0.485986,0.659724,0.322522,0.326971,0.26538,0.319035,0.330222,0.335695,0.338671,0.347407,0.359886,0.325795,0.313232,0.362744,0.02836,0.256531,0.360606,0.335895
3.125,1,0.407312,0.570511,0.543519,0.665438,0.450671,0.490446,0.364764,0.169593,0.341291,0.731881,0.685356,0.155904,0.198101,0.576895,0.703798,0.076731,0.071409,0.063598,0.079131,0.075407,0.082055,0.079974,0.088257,0.07555,0.085565,0.068286,0.080544,0.012104,0.055137,0.07898,0.066355
3.515625,1,0.366513,0.564653,0.613469,0.621305,0.46275,0.451132,0.28971,0.105661,0.436982,0.695906,0.618525,0.047135,0.145683,0.535457,0.741703,0.067497,0.076026,0.050882,0.052553,0.045141,0.051533,0.049044,0.057548,0.032915,0.033096,0.032811,0.051282,0.007996,0.032656,0.041735,0.055459
3.90625,1,0.300112,0.414246,0.437082,0.539404,0.357487,0.238,0.111218,0.059908,0.435202,0.470976,0.533057,0.158769,0.291844,0.437807,0.658801,0.082772,0.073371,0.077119,0.091548,0.077572,0.06308,0.076486,0.06544,0.072023,0.04342,0.072981,0.055221,0.009336,0.058524,0.068011,0.04796
4.296875,1,0.376811,0.430706,0.402322,0.554502,0.440663,0.360493,0.302773,0.029332,0.538804,0.690172,0.610493,0.041137,0.217842,0.598161,0.591003,0.014977,0.015029,0.027904,0.023131,0.011432,0.013199,0.018727,0.016312,0.027755,0.020804,0.014375,0.010549,0.018308,0.008228,0.014918,0.00894
4.6875,1,0.347035,0.551,0.540559,0.570571,0.460023,0.437648,0.249249,0.202696,0.288348,0.647173,0.625827,0.021303,0.02596,0.443117,0.61237,0.008826,0.00608,0.016809,0.011827,0.011608,0.007556,0.011176,0.011714,0.013513,0.00444,0.007179,0.007412,0.032196,0.01265,0.006706,0.006416
5.078125,1,0.230428,0.515563,0.485114,0.521691,0.392734,0.398171,0.213789,0.254025,0.322438,0.433907,0.528257,0.042304,0.058206,0.282067,0.597143,0.080608,0.06894,0.06008,0.069939,0.081535,0.064305,0.074821,0.079178,0.072367,0.039199,0.061873,0.065527,0.020019,0.047621,0.071634,0.059572
5.46875,1,0.368189,0.499319,0.496227,0.590897,0.516176,0.323062,0.070617,0.100752,0.563745,0.559067,0.627004,0.085567,0.240087,0.481434,0.600943,0.082482,0.079994,0.056208,0.026565,0.079574,0.078518,0.048427,0.035641,0.048786,0.025154,0.099313,0.06502,0.108164,0.097452,0.088475,0.079838
5.859375,1,0.270252,0.410348,0.326514,0.472974,0.37086,0.309656,0.14425,0.053215,0.495013,0.51064,0.595731,0.050348,0.181671,0.431199,0.49304,0.01179,0.014621,0.006024,0.034577,0.021833,0.01361,0.01887,0.038781,0.015474,0.030038,0.016046,0.02674,0.048757,0.016376,0.017877,0.026377
