Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.004784,0.285823,0.043842,0.096775,0.123137,0.318352,0.082162,0.218627,0.278577,0.471738,0.55709,0.002047,0.004003,0.260777,0.594206,0.02016,0.941512,0.906588,0.975008,0.977872,0.972163,0.967923,1,0.987104,0.927993,0.939064,0.912011,0.975002,0.782348,0.79333,0.92896,0.932206
0.390625,0.054621,0.179547,0.077067,0.074198,0.046603,0.094467,0.081876,0.247024,0.175404,0.267419,0.236079,0.033554,0.064818,0.089759,0.26568,0.007786,0.924648,0.899853,0.947653,0.97141,0.968173,0.959049,1,0.959649,0.931216,0.885944,0.888301,0.9802,0.68504,0.835403,0.941335,0.944457
0.78125,0.039302,0.006795,0.009368,0.008965,0.045878,0.00839,0.006201,0.032162,0.086243,0.068682,0.067557,0.061693,0.041562,0.016526,0.083153,0.075435,0.926141,0.900854,0.928131,0.972163,0.964558,0.957483,1,0.955192,0.905822,0.840743,0.890763,0.978398,0.599012,0.824476,0.938407,0.937432
1.171875,0.013767,0.010238,0.007599,0.008181,0.062013,0.003415,0.009096,0.010232,0.079938,0.039571,0.038477,0.023556,0.071815,0.018066,0.106277,0.073465,0.863241,0.80566,0.90932,0.944859,0.932127,0.909783,1,0.951932,0.895692,0.758885,0.751055,0.940143,0.374856,0.628144,0.880221,0.880691
1.5625,0.010262,0.030328,0.039893,0.023528,0.046414,0.049762,0.028625,0.035722,0.186869,0.023923,0.028782,0.025997,0.019591,0.02086,0.03725,0.041422,0.854075,0.802173,0.927301,0.953439,0.928615,0.922047,1,0.96661,0.903201,0.79341,0.766895,0.941006,0.297031,0.632415,0.883363,0.851827
1.953125,0.009591,0.005759,0.100515,0.053034,0.058047,0.013474,0.121443,0.198779,0.316931,0.013653,0.054791,0.011661,0.027149,0.019406,0.016724,0.013389,0.732636,0.609622,0.88976,0.950687,0.924878,0.864881,1,0.966557,0.881964,0.804094,0.607547,0.941926,0.029923,0.40087,0.841464,0.83992
2.34375,0.04616,0.006325,0.272886,0.211783,0.092346,0.058463,0.257393,0.266951,0.46114,0.129721,0.075169,0.083396,0.038675,0.158107,0.122504,0.017713,0.802607,0.658211,0.934492,0.973948,0.960572,0.908987,1,0.987412,0.926815,0.891812,0.659351,0.95825,0.041507,0.339745,0.893124,0.869184
2.734375,0.051621,0.035189,0.395726,0.323239,0.169831,0.140633,0.427648,0.432712,0.653791,0.248406,0.048229,0.284466,0.18855,0.170281,0.102108,0.031396,0.786363,0.661041,0.94962,0.974972,0.959299,0.923652,1,0.984525,0.946292,0.925489,0.625901,0.970466,0.181952,0.255117,0.90453,0.883628
3.125,0.045746,0.05216,0.177563,0.117956,0.046112,0.090148,0.255748,0.258436,0.485897,0.087121,0.019135,0.094606,0.132783,0.125437,0.068787,0.016685,0.745294,0.617328,0.935917,0.964771,0.927576,0.891238,1,0.975361,0.933419,0.890184,0.479162,0.944591,0.197005,0.228711,0.819298,0.822259
3.515625,0.091813,0.04901,0.206635,0.125843,0.09905,0.085747,0.290242,0.293417,0.471824,0.046935,0.015885,0.144704,0.174144,0.13169,0.02944,0.062899,0.823576,0.700484,0.95757,0.97099,0.955728,0.911765,1,0.977579,0.94289,0.900056,0.566492,0.952871,0.218747,0.302202,0.846614,0.856348
3.90625,0.199553,0.00746,0.184349,0.110367,0.082495,0.000577,0.276239,0.218066,0.506728,0.019398,0.008084,0.285148,0.001754,0.005624,0.015639,0.134353,0.897957,0.821639,0.946517,0.982015,0.965185,0.931462,1,0.985139,0.954032,0.897868,0.774893,0.958674,0.171312,0.589893,0.897673,0.889382
4.296875,0.063475,0.00959,0.125864,0.084056,0.135396,0.009646,0.238848,0.244386,0.434933,0.034312,0.048753,0.157556,0.01536,0.012549,0.075551,0.04947,0.824137,0.700679,0.932499,0.972665,0.933035,0.887782,1,0.977617,0.929261,0.892591,0.587703,0.927488,0.04037,0.293707,0.828873,0.790007
4.6875,0.021452,0.006058,0.175536,0.063226,0.122142,0.004802,0.240417,0.281065,0.456368,0.019435,0.023096,0.13956,0.034982,0.023847,0.011912,0.059805,0.799766,0.636298,0.931128,0.969527,0.939743,0.884753,1,0.975652,0.920636,0.891335,0.551791,0.916575,0.060507,0.271701,0.809916,0.775239
5.078125,0.020727,0.013602,0.043083,0.011504,0.025348,0.035793,0.056056,0.105131,0.126675,0.022178,0.02709,0.030255,0.009309,0.015621,0.008573,0.015294,0.795572,0.657309,0.90272,0.966794,0.932817,0.872098,1,0.96872,0.910544,0.821207,0.585113,0.89862,0.119983,0.38166,0.805874,0.772293
5.46875,0.044864,0.049996,0.115114,0.099484,0.050509,0.054549,0.1116,0.115143,0.176626,0.081491,0.035589,0.001752,0.084746,0.088681,0.080737,0.014858,0.770741,0.630384,0.899021,0.96288,0.919265,0.874166,1,0.964483,0.894124,0.831219,0.533677,0.907797,0.069456,0.274145,0.787006,0.776271
5.859375,0.192614,0.15539,0.256402,0.250189,0.083811,0.129231,0.301399,0.272907,0.385614,0.115357,0.108199,0.047043,0.079254,0.114946,0.110043,0.035205,0.672504,0.503618,0.853162,0.939359,0.884361,0.81742,1,0.944895,0.853747,0.824185,0.345874,0.838911,0.055114,0.101811,0.67199,0.625188
6.25,0.063514,0.120289,0.172948,0.179678,0.056902,0.120554,0.185988,0.146197,0.351177,0.114441,0.027268,0.040902,0.057268,0.092696,0.099882,0.09383,0.692779,0.560845,0.864567,0.93925,0.889692,0.806156,1,0.952018,0.868939,0.797599,0.483863,0.831117,0.129401,0.284354,0.707383,0.633596
6.640625,0.044008,0.060617,0.028572,0.010024,0.050499,0.055646,0.053567,0.093162,0.138708,0.137215,0.134719,0.150794,0.122383,0.037907,0.290676,0.419698,0.668667,0.520617,0.864031,0.912711,0.852902,0.749092,1,0.93729,0.783848,0.712466,0.402686,0.775686,0.026984,0.196168,0.650629,0.546289
7.03125,0.080678,0.019536,0.055219,0.01618,0.025301,0.023239,0.07039,0.078738,0.176671,0.084407,0.019385,0.019686,0.132893,0.109367,0.117723,0.260012,0.793066,0.683753,0.90226,0.95716,0.908199,0.876416,1,0.96178,0.921906,0.878742,0.525824,0.874983,0.048434,0.317291,0.755499,0.696145
7.421875,0.037558,0.037897,0.020695,0.023344,0.013887,0.022503,0.040272,0.041678,0.128116,0.006798,0.009209,0.098762,0.018272,0.012956,0.095297,0.096517,0.704033,0.575526,0.86251,0.939998,0.857556,0.801292,1,0.964175,0.894501,0.841761,0.35147,0.812603,0.011472,0.184886,0.611315,0.578687
