Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.452097,0.298631,0.0000025795,0.055055,0.002629,0.163402,0.263622,0.298796,0.426648,0.069837,0.02482,0.090059,0.47534,0.044593,0.067252,0.287186,0.053662,0.762113,0.778829,0.03845,0.121743,0.380887,0.003205,0.011334,0.646587,0.28314,0.079052,0.023581,0.247709,0.766093,1,0.109157
0.390625,0.213564,0.078651,0.026413,0.038485,0.051168,0.04188,0.105482,0.067751,0.108451,0.019541,0.056138,0.063496,0.202257,0.018405,0.015712,0.16505,0.464901,0.729731,0.72349,0.24018,0.530205,0.669672,0.33535,0.337757,0.75432,0.467135,0.566963,0.331305,0.137951,0.656817,1,0.5079
0.78125,0.114335,0.046022,0.036163,0.013108,0.081152,0.063666,0.085433,0.036048,0.135777,0.025564,0.075522,0.041808,0.112701,0.033955,0.027899,0.193739,0.787687,0.845125,0.731081,0.482369,0.783532,0.863594,0.651409,0.580225,0.807413,0.631072,0.839398,0.669711,0.12434,0.755816,1,0.78159
1.171875,0.050345,0.077677,0.037907,0.032703,0.019757,0.143372,0.06608,0.037616,0.099828,0.046708,0.047137,0.022221,0.132427,0.041724,0.020236,0.180034,0.785565,0.800139,0.630514,0.490354,0.82005,0.879102,0.637713,0.544851,0.75066,0.568889,0.867592,0.729981,0.137954,0.716094,1,0.863751
1.5625,0.07077,0.032208,0.015603,0.015508,0.009817,0.079076,0.041216,0.058921,0.048977,0.008146,0.088394,0.084884,0.051372,0.018594,0.032361,0.067873,0.840144,0.815202,0.51819,0.481866,0.827068,0.878131,0.623926,0.532309,0.723794,0.568275,0.857622,0.761254,0.06904,0.637845,1,0.88922
1.953125,0.120641,0.061221,0.011187,0.001184,0.028401,0.063058,0.126026,0.137843,0.216531,0.009922,0.120284,0.149653,0.033301,0.039415,0.034395,0.036557,0.901146,0.85446,0.549904,0.641419,0.903316,0.922784,0.751033,0.6846,0.810156,0.716509,0.902572,0.877981,0.059448,0.701761,1,0.941162
2.34375,0.033635,0.065089,0.041362,0.012863,0.01378,0.030575,0.137693,0.097596,0.194978,0.032333,0.098824,0.088758,0.018032,0.017473,0.039128,0.007354,0.886283,0.820919,0.549818,0.623423,0.893267,0.934504,0.736514,0.661409,0.796144,0.703846,0.894978,0.89218,0.036268,0.687054,1,0.937675
2.734375,0.101944,0.020403,0.231935,0.168916,0.104936,0.091082,0.341784,0.36351,0.383533,0.117013,0.102264,0.168653,0.198475,0.187687,0.064131,0.022509,0.901038,0.829262,0.67241,0.702615,0.922909,0.945665,0.806958,0.731404,0.842558,0.749226,0.909808,0.90427,0.004473,0.681606,1,0.933494
3.125,0.076356,0.053355,0.30175,0.316426,0.172902,0.061011,0.433563,0.319891,0.44114,0.184536,0.059552,0.135394,0.197238,0.176526,0.028106,0.040038,0.90579,0.845342,0.637842,0.691197,0.917291,0.937229,0.823692,0.720361,0.832141,0.693493,0.848797,0.904226,0.006423,0.59004,1,0.927399
3.515625,0.094334,0.02916,0.068677,0.047699,0.107545,0.022006,0.133051,0.104303,0.152443,0.049855,0.012321,0.112746,0.070229,0.025545,0.041328,0.113119,0.89358,0.829174,0.537804,0.643551,0.898804,0.926391,0.79044,0.690869,0.707713,0.605822,0.893643,0.910552,0.056658,0.694526,1,0.934108
3.90625,0.081433,0.028791,0.034689,0.042959,0.085814,0.102457,0.125857,0.181847,0.221569,0.052064,0.017318,0.104325,0.025039,0.008095,0.001028,0.01339,0.918435,0.86735,0.662267,0.742695,0.904489,0.957049,0.854329,0.784115,0.805238,0.769967,0.940345,0.949715,0.034788,0.733701,1,0.952325
4.296875,0.126262,0.039168,0.247948,0.184388,0.095728,0.074789,0.28119,0.275157,0.422063,0.144371,0.127621,0.164895,0.0684,0.135141,0.119138,0.046085,0.883807,0.817965,0.659953,0.700179,0.895108,0.92288,0.810674,0.71925,0.780203,0.734341,0.915395,0.927123,0.122341,0.645011,1,0.934928
4.6875,0.234552,0.074688,0.313219,0.231425,0.371707,0.156468,0.384856,0.391678,0.475853,0.025327,0.016718,0.260753,0.177943,0.126558,0.056308,0.06222,0.898999,0.836131,0.66281,0.710972,0.910908,0.93394,0.835493,0.740212,0.823448,0.773362,0.943123,0.934576,0.101864,0.721124,1,0.940861
5.078125,0.201076,0.13042,0.314098,0.328244,0.376075,0.162245,0.393161,0.40115,0.417781,0.067142,0.05199,0.249059,0.280921,0.147819,0.007675,0.063362,0.910272,0.837069,0.599105,0.658848,0.916664,0.93252,0.807769,0.693299,0.764188,0.685061,0.924256,0.91939,0.080515,0.661451,1,0.940486
