Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.045472,0.12468,0.087752,0.031002,0.052326,0.127214,0.023901,0.006669,0.071554,0.051929,1,0.018759,0.21526,0.081019,0.15378,0.00000078169,0.000115,0.021356,0.065586,0.151071,0.091271,0.003014,0.00001801326,0.062637,0.064851,0.004361,0.000256,0.171448,0.229353,0.008516,0.02482,0.378861
0.390625,0.124183,0.038839,0.287902,0.093163,0.142625,0.223598,0.09344,0.059256,0.096768,0.166629,1,0.023686,0.207651,0.172833,0.057529,0.01333,0.113276,0.057265,0.090197,0.223575,0.145653,0.103674,0.16269,0.169042,0.063248,0.136397,0.058425,0.189002,0.149771,0.008425,0.056138,0.183677
0.78125,0.203457,0.019577,0.122714,0.050459,0.263601,0.174143,0.038035,0.083352,0.071593,0.093721,1,0.118855,0.133152,0.160543,0.07091,0.078655,0.136794,0.074258,0.089042,0.282476,0.172301,0.139522,0.210769,0.26039,0.11249,0.201124,0.082493,0.251482,0.055981,0.022416,0.075522,0.153595
1.171875,0.09986,0.012354,0.139696,0.103872,0.241417,0.049759,0.054771,0.003901,0.007801,0.147435,1,0.376348,0.044618,0.163831,0.3484,0.13266,0.094751,0.05488,0.089716,0.284554,0.148485,0.110866,0.188783,0.237769,0.125217,0.167859,0.041106,0.200729,0.036808,0.012467,0.047137,0.118325
1.5625,0.188634,0.065698,0.160589,0.178403,0.29564,0.042147,0.096606,0.097418,0.057321,0.23883,1,0.391647,0.032182,0.100491,0.520655,0.35875,0.138851,0.124948,0.183519,0.261436,0.169885,0.166438,0.208373,0.220561,0.193673,0.222248,0.089549,0.176927,0.09665,0.071953,0.088394,0.162383
1.953125,0.157414,0.009805,0.07183,0.15901,0.084357,0.051212,0.01934,0.104399,0.1445,0.181774,1,0.218364,0.039927,0.075631,0.305774,0.085819,0.118282,0.102007,0.115565,0.161005,0.159429,0.130614,0.140975,0.150704,0.154421,0.127817,0.08034,0.152701,0.004807,0.053769,0.120284,0.166843
2.34375,0.152515,0.081328,0.098336,0.148931,0.046284,0.037728,0.029614,0.063725,0.042054,0.187394,1,0.256913,0.049413,0.125672,0.302631,0.142371,0.090075,0.079386,0.052603,0.100652,0.121943,0.111432,0.098673,0.097213,0.098277,0.07071,0.095915,0.111916,0.032616,0.058321,0.098824,0.122362
2.734375,0.141934,0.048637,0.141257,0.155617,0.078387,0.010988,0.052779,0.024441,0.060135,0.168402,1,0.162759,0.0429,0.118033,0.375561,0.266637,0.085917,0.070081,0.117371,0.10733,0.104695,0.108691,0.117294,0.088075,0.116917,0.099199,0.105364,0.105988,0.0324,0.056993,0.102264,0.085075
3.125,0.087467,0.010635,0.060268,0.104531,0.212381,0.012111,0.052085,0.07792,0.077821,0.212222,1,0.157517,0.051325,0.080293,0.375409,0.358282,0.052867,0.076288,0.054937,0.098931,0.055472,0.081314,0.088103,0.086296,0.086154,0.10879,0.042372,0.085605,0.028673,0.019078,0.059552,0.067261
3.515625,0.124782,0.07635,0.081378,0.132492,0.205691,0.046465,0.050864,0.117991,0.089238,0.245129,1,0.187127,0.020766,0.140849,0.484163,0.460133,0.01891,0.019263,0.021969,0.006471,0.010088,0.001509,0.005558,0.007215,0.010905,0.016226,0.007053,0.004541,0.048417,0.010324,0.012321,0.012215
