Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.002477,0.003833,0.269667,0.577568,0.246339,1,0.00032,0.117891,0.303851,0.459233,0.320242,0.360767,0.081351,0.128489,0.391113,0.181049,0.019002,0.074216,0.005946,0.099097,0.016498,0.001809,0.107568,0.132539,0.026433,0.048537,0.003529,0.024783,0.155923,0.364923,0.061444,0.002448
0.390625,0.010999,0.222114,0.158396,0.214062,0.082747,1,0.066749,0.062592,0.089626,0.238253,0.264229,0.117491,0.065031,0.073131,0.176289,0.069183,0.033349,0.080515,0.040959,0.015317,0.029983,0.046628,0.01983,0.015457,0.070095,0.042017,0.060607,0.024389,0.131136,0.189636,0.096452,0.051216
0.78125,0.041512,0.388946,0.047981,0.056735,0.069951,1,0.050582,0.034469,0.011054,0.158849,0.26026,0.065623,0.073033,0.071566,0.140394,0.052668,0.041165,0.048143,0.023829,0.021086,0.030481,0.046818,0.021688,0.016956,0.050488,0.080571,0.071695,0.036709,0.135556,0.08414,0.053853,0.048218
1.171875,0.05177,0.550014,0.099459,0.065583,0.187197,1,0.151896,0.099297,0.025537,0.23716,0.195429,0.018677,0.096535,0.110956,0.143757,0.027378,0.056137,0.060003,0.033303,0.037498,0.039701,0.041359,0.036191,0.047387,0.056491,0.075754,0.059408,0.052004,0.12804,0.079354,0.04984,0.063964
1.5625,0.081704,0.514724,0.037263,0.038301,0.18972,1,0.070355,0.085744,0.022638,0.080446,0.180549,0.042005,0.089719,0.089487,0.051642,0.036187,0.040392,0.045677,0.038599,0.046511,0.0408,0.036024,0.055638,0.053417,0.045168,0.027835,0.033747,0.047443,0.01032,0.016017,0.040878,0.038072
1.953125,0.112228,0.630182,0.000824,0.019227,0.092394,1,0.015377,0.024714,0.032052,0.032556,0.130208,0.016383,0.07522,0.089537,0.007773,0.015712,0.078693,0.086317,0.07695,0.041045,0.052444,0.05216,0.046391,0.034639,0.027125,0.021785,0.046532,0.034401,0.026084,0.050035,0.04911,0.05566
2.34375,0.374951,0.680259,0.247237,0.304869,0.38403,1,0.121199,0.053177,0.071006,0.153307,0.359118,0.214282,0.138857,0.133557,0.11002,0.167144,0.10971,0.110269,0.076493,0.069309,0.078634,0.076453,0.073549,0.065243,0.057865,0.039387,0.074598,0.067545,0.077169,0.082402,0.074495,0.060285
2.734375,0.518849,0.75303,0.182392,0.253858,0.360766,1,0.09297,0.07747,0.0211,0.256775,0.515231,0.208917,0.101188,0.187606,0.313596,0.210585,0.059442,0.067882,0.019731,0.009671,0.02025,0.03074,0.014795,0.010512,0.006444,0.008564,0.042072,0.021272,0.049086,0.047949,0.026256,0.031388
3.125,0.462457,0.862949,0.221127,0.301137,0.386946,1,0.131565,0.096163,0.03154,0.221738,0.450268,0.178124,0.240128,0.220576,0.224146,0.17599,0.006144,0.004999,0.00972,0.001053,0.009531,0.010793,0.001573,0.000346,0.007369,0.006731,0.024689,0.005636,0.014288,0.032377,0.011948,0.006696
3.515625,0.476248,0.870626,0.24011,0.255119,0.458163,1,0.199106,0.152765,0.082725,0.332447,0.597882,0.322936,0.215487,0.154232,0.291174,0.181148,0.020704,0.013037,0.048888,0.037323,0.047282,0.031685,0.04454,0.040858,0.063391,0.043442,0.026923,0.045168,0.016139,0.009903,0.045958,0.034208
3.90625,0.468002,0.901315,0.186144,0.250435,0.418848,1,0.126171,0.09607,0.121467,0.266746,0.506404,0.265462,0.254892,0.140298,0.199161,0.176092,0.002959,0.004122,0.004738,0.004118,0.013748,0.006511,0.009984,0.007704,0.019033,0.014258,0.008419,0.013838,0.00005559637,0.006345,0.016467,0.015306
4.296875,0.445104,0.902614,0.215164,0.271006,0.339917,1,0.105919,0.042102,0.103981,0.243661,0.47644,0.364015,0.345465,0.31242,0.201551,0.137216,0.008423,0.00967,0.009874,0.013449,0.007597,0.007732,0.013329,0.017733,0.012032,0.015257,0.00205,0.010238,0.00723,0.00306,0.006211,0.005152
4.6875,0.387276,0.902346,0.272447,0.311319,0.434512,1,0.125783,0.073197,0.208767,0.201045,0.436475,0.304143,0.431923,0.275115,0.174942,0.153074,0.077487,0.061574,0.077053,0.063275,0.080587,0.06562,0.06921,0.066894,0.046204,0.041302,0.050383,0.060533,0.033154,0.045603,0.061377,0.055185
5.078125,0.321906,0.894553,0.180593,0.302866,0.35087,1,0.079726,0.024509,0.254901,0.193106,0.321045,0.168848,0.431151,0.332649,0.159964,0.122516,0.096054,0.083574,0.082987,0.079299,0.096709,0.104363,0.092509,0.088248,0.086427,0.084444,0.084994,0.088426,0.040422,0.06944,0.099805,0.071381
5.46875,0.369503,0.889349,0.234837,0.331909,0.305208,1,0.136148,0.053329,0.348959,0.128824,0.228337,0.148036,0.419085,0.386781,0.093596,0.08085,0.100282,0.095236,0.105919,0.100109,0.105672,0.09969,0.100041,0.103305,0.074793,0.118073,0.070075,0.110424,0.006476,0.051166,0.107003,0.090491
5.859375,0.39474,0.858719,0.134689,0.201473,0.171925,1,0.020788,0.003992,0.250591,0.179634,0.207949,0.107697,0.368492,0.394117,0.119986,0.029479,0.063164,0.042296,0.054751,0.054766,0.078398,0.032331,0.063291,0.068388,0.029091,0.062377,0.016891,0.068456,0.002825,0.009411,0.048426,0.057238
6.25,0.341404,0.904959,0.046765,0.117621,0.042512,1,0.033639,0.117878,0.334273,0.466108,0.449508,0.18541,0.277752,0.504207,0.386431,0.06973,0.06653,0.042092,0.070316,0.097682,0.113811,0.074741,0.107921,0.113301,0.101333,0.099259,0.050722,0.101708,0.006669,0.022418,0.090931,0.076484
6.640625,0.334205,0.912166,0.036932,0.111835,0.14857,1,0.056965,0.182186,0.150999,0.376415,0.524761,0.262507,0.195252,0.474132,0.346693,0.128278,0.053762,0.040626,0.074047,0.057675,0.074817,0.053797,0.080559,0.068154,0.073696,0.064845,0.051354,0.067421,0.007251,0.023003,0.077502,0.046654
7.03125,0.191559,0.891298,0.040387,0.129417,0.048106,1,0.017729,0.087019,0.200628,0.401627,0.390013,0.15817,0.210438,0.404892,0.394317,0.137506,0.024099,0.024018,0.070326,0.078217,0.030589,0.027241,0.056284,0.071162,0.029114,0.036204,0.035609,0.024704,0.045687,0.041479,0.027809,0.028125
7.421875,0.190547,0.894282,0.085869,0.190975,0.086889,1,0.121995,0.255455,0.273287,0.442891,0.443573,0.218975,0.314991,0.483804,0.348496,0.116911,0.015509,0.01192,0.046543,0.064937,0.034863,0.012515,0.040037,0.055469,0.020735,0.015557,0.008672,0.016654,0.011376,0.008835,0.01084,0.016882
7.8125,0.234006,0.836274,0.105377,0.142925,0.078671,1,0.174433,0.362007,0.39614,0.60174,0.477508,0.183058,0.103556,0.58134,0.479858,0.131316,0.140827,0.134043,0.094085,0.122068,0.151505,0.123702,0.129862,0.128461,0.093695,0.075221,0.136244,0.135657,0.124805,0.127261,0.140897,0.138816
8.203125,0.181642,0.806486,0.105064,0.207218,0.028658,1,0.041628,0.062679,0.204053,0.301386,0.270312,0.107053,0.143608,0.371026,0.288336,0.054657,0.068343,0.05771,0.040542,0.040631,0.072306,0.060364,0.049468,0.042471,0.044559,0.02874,0.10133,0.067264,0.099642,0.083985,0.090286,0.06176
8.59375,0.253943,0.855796,0.148105,0.300566,0.075252,1,0.012713,0.003589,0.116563,0.128698,0.236309,0.127645,0.131907,0.299065,0.267026,0.067596,0.040414,0.046802,0.035207,0.026583,0.022084,0.028076,0.025506,0.024345,0.016371,0.01801,0.03277,0.029865,0.020475,0.031735,0.031649,0.029734
8.984375,0.157018,0.894903,0.160983,0.338302,0.119941,1,0.007081,0.007953,0.10123,0.135102,0.137606,0.123377,0.2556,0.353122,0.212376,0.0525,0.008906,0.018931,0.012941,0.006927,0.008891,0.009128,0.00704,0.005614,0.025045,0.015698,0.019475,0.011849,0.030219,0.022852,0.015588,0.011349
9.375,0.080201,0.841603,0.086492,0.23961,0.069248,1,0.022213,0.052558,0.131011,0.179598,0.131195,0.092662,0.202167,0.372965,0.269499,0.107998,0.023881,0.038961,0.017595,0.02513,0.005719,0.013212,0.014118,0.020736,0.034585,0.032228,0.02558,0.01074,0.053239,0.038743,0.018775,0.019604
9.765625,0.054161,0.817055,0.343797,0.457628,0.10331,1,0.167256,0.151873,0.332398,0.276191,0.134838,0.100351,0.298303,0.460688,0.383647,0.195267,0.012223,0.00579,0.014491,0.029796,0.038769,0.022074,0.030532,0.031518,0.062497,0.05713,0.026683,0.025991,0.000992,0.011667,0.03115,0.013427
