Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.361236,0.651077,0.009661,0.001652,0.683039,1,0.060287,0.240365,0.032033,0.4655,0.507035,0.031766,0.329083,0.000506,0.380541,0.034008,0.099516,0.130288,0.009388,0.00000316734,0.052651,0.083959,0.015533,0.003823,0.008589,0.002301,0.143458,0.048644,0.434231,0.247428,0.086983,0.084223
0.390625,0.141958,0.729744,0.08454,0.094404,0.44124,1,0.088176,0.126812,0.042471,0.448407,0.538998,0.035417,0.21424,0.03181,0.246476,0.033594,0.101939,0.108961,0.076995,0.026487,0.087662,0.117473,0.061592,0.042668,0.088289,0.085896,0.131555,0.091961,0.175111,0.149296,0.120425,0.1283
0.78125,0.205272,0.74912,0.038284,0.050791,0.385498,1,0.13898,0.152179,0.107197,0.272449,0.330765,0.070143,0.195122,0.030496,0.162092,0.031283,0.049874,0.043258,0.034141,0.023316,0.043716,0.0538,0.027289,0.023025,0.050975,0.046811,0.059978,0.050222,0.090378,0.061407,0.058277,0.069971
1.171875,0.271739,0.740237,0.120016,0.101785,0.416667,1,0.110436,0.083068,0.121236,0.215595,0.542229,0.218092,0.238582,0.050882,0.152509,0.059565,0.043242,0.041107,0.067018,0.0716,0.039731,0.046374,0.054939,0.06957,0.04632,0.069293,0.026926,0.044959,0.044161,0.033192,0.025963,0.041003
1.5625,0.155076,0.761623,0.083114,0.097195,0.362921,1,0.071639,0.036955,0.083424,0.223118,0.579983,0.17141,0.216797,0.049846,0.178039,0.104831,0.009784,0.013215,0.01514,0.012131,0.002626,0.005674,0.007349,0.007278,0.005759,0.00763,0.020761,0.001545,0.03494,0.038801,0.005706,0.007476
1.953125,0.496389,0.801488,0.373519,0.431137,0.652341,1,0.224124,0.093444,0.096631,0.314879,0.6298,0.431737,0.158763,0.002148,0.266799,0.628655,0.00264,0.002742,0.026248,0.022756,0.007203,0.001396,0.014744,0.012396,0.02413,0.009846,0.001166,0.003639,0.039865,0.010991,0.001841,0.001445
2.34375,0.61234,0.84416,0.53639,0.622121,0.686674,1,0.447569,0.337443,0.267009,0.143089,0.480755,0.572229,0.181455,0.020151,0.20591,0.491989,0.101717,0.095489,0.096502,0.118319,0.109467,0.092288,0.125633,0.132673,0.108602,0.107632,0.048845,0.116823,0.036714,0.017133,0.1011,0.098751
2.734375,0.617995,0.863465,0.490335,0.518659,0.662221,1,0.459926,0.38624,0.262963,0.299896,0.583526,0.556919,0.212839,0.017979,0.364908,0.514927,0.008464,0.00449,0.040831,0.068159,0.029132,0.017261,0.050797,0.070453,0.034223,0.060144,0.004533,0.032224,0.080367,0.017333,0.013641,0.014938
3.125,0.385646,0.862808,0.310414,0.282526,0.486625,1,0.296891,0.23384,0.130866,0.195615,0.460826,0.350389,0.297782,0.116385,0.262905,0.251546,0.001445,0.003429,0.002269,0.004778,0.004105,0.000364,0.005748,0.007981,0.005029,0.005947,0.002408,0.004934,0.024122,0.005971,0.003656,0.004134
3.515625,0.218702,0.866844,0.120843,0.137093,0.236762,1,0.072419,0.039215,0.110885,0.173927,0.339767,0.179899,0.343999,0.264398,0.23747,0.145941,0.039672,0.02822,0.036991,0.040303,0.04142,0.02672,0.041444,0.049787,0.03157,0.023275,0.018544,0.04389,0.025296,0.009994,0.031578,0.035053
3.90625,0.23974,0.882361,0.138832,0.120903,0.210332,1,0.093749,0.044586,0.106551,0.089197,0.302404,0.227338,0.337108,0.262988,0.101292,0.12486,0.036134,0.024206,0.052668,0.059708,0.058181,0.036782,0.069523,0.073541,0.077329,0.056219,0.022974,0.067476,0.058525,0.000301,0.053892,0.051641
4.296875,0.205777,0.87713,0.268301,0.302809,0.326844,1,0.170116,0.101982,0.23084,0.24107,0.427273,0.22703,0.337425,0.323534,0.241862,0.177015,0.029849,0.017917,0.045954,0.052795,0.039308,0.022492,0.047161,0.050077,0.051201,0.042187,0.012761,0.037188,0.019688,0.002149,0.033873,0.026607
4.6875,0.32669,0.939376,0.27488,0.407763,0.42112,1,0.100743,0.0269,0.174173,0.245963,0.523406,0.380233,0.277622,0.220374,0.332242,0.410943,0.040924,0.056103,0.013724,0.021439,0.014578,0.013452,0.014647,0.018273,0.002722,0.001745,0.026626,0.006642,0.080991,0.058353,0.010496,0.011157
5.078125,0.257928,0.935207,0.155383,0.383901,0.102945,1,0.010575,0.054921,0.241652,0.257545,0.34362,0.194,0.17222,0.332567,0.25012,0.243737,0.005978,0.005097,0.007492,0.006256,0.014344,0.011416,0.010148,0.011289,0.01865,0.030599,0.008436,0.01713,0.004233,0.004504,0.014732,0.017595
5.46875,0.29244,0.935632,0.191424,0.345875,0.222106,1,0.019674,0.045023,0.192006,0.2993,0.401499,0.229006,0.295885,0.413798,0.290411,0.242666,0.003739,0.005631,0.009463,0.000945,0.005037,0.005807,0.00398,0.003265,0.017056,0.010297,0.009124,0.008581,0.014299,0.010862,0.007942,0.00698
5.859375,0.055995,0.909971,0.031628,0.16226,0.026402,1,0.123635,0.261509,0.082849,0.10995,0.276066,0.02331,0.217539,0.272034,0.093969,0.049344,0.023134,0.032829,0.007821,0.013084,0.026178,0.028374,0.015852,0.019908,0.024441,0.012934,0.028777,0.026339,0.026556,0.044248,0.025941,0.029379
6.25,0.111915,0.86105,0.055852,0.128758,0.138423,1,0.0024,0.063395,0.070236,0.119229,0.36244,0.044921,0.142625,0.142108,0.070926,0.117972,0.051767,0.049075,0.063426,0.102552,0.063491,0.0568,0.093779,0.118346,0.087043,0.075875,0.03213,0.077433,0.013031,0.019667,0.057872,0.056226
6.640625,0.215574,0.927922,0.120138,0.300047,0.120754,1,0.016856,0.095494,0.198457,0.313914,0.460348,0.101174,0.245753,0.357984,0.170123,0.164944,0.055132,0.059366,0.03981,0.073459,0.053422,0.04649,0.053649,0.068435,0.057856,0.031632,0.042913,0.047327,0.036158,0.043676,0.047571,0.047917
7.03125,0.256876,0.94256,0.109419,0.32099,0.134141,1,0.01861,0.167373,0.102655,0.262314,0.460715,0.114472,0.163616,0.321865,0.182979,0.177298,0.019173,0.019154,0.013905,0.025663,0.018227,0.017068,0.013447,0.025545,0.019452,0.007746,0.009406,0.015446,0.017484,0.012384,0.016098,0.014583
7.421875,0.190213,0.896242,0.146575,0.281799,0.179163,1,0.030722,0.061044,0.111992,0.171922,0.298839,0.135656,0.203712,0.299201,0.115439,0.072902,0.003215,0.004841,0.006018,0.005934,0.001325,0.002605,0.00243,0.003627,0.014198,0.025828,0.005133,0.007657,0.015913,0.007207,0.004737,0.016144
