Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.235753,0.497883,0.600363,0.719949,0.195664,0.211143,0.731913,1,0.477097,0.695019,0.67374,0.137881,0.125546,0.291931,0.599534,0.202302,0.262417,0.322998,0.126375,0.198872,0.206005,0.265575,0.203196,0.200477,0.24218,0.282735,0.274734,0.26655,0.175024,0.331913,0.280312,0.308747
0.390625,0.493858,0.283509,0.606988,0.609046,0.416194,0.018771,0.769444,1,0.612073,0.343553,0.212304,0.280029,0.268353,0.326806,0.22431,0.360859,0.043892,0.045044,0.047562,0.05571,0.048432,0.04689,0.046367,0.0601,0.040423,0.049587,0.032124,0.057845,0.021618,0.02871,0.040032,0.056022
0.78125,0.526609,0.172862,0.60369,0.551724,0.495597,0.017789,0.794764,1,0.550045,0.239941,0.071861,0.401689,0.485504,0.354409,0.074086,0.373528,0.013859,0.017117,0.033257,0.037035,0.023352,0.023673,0.02623,0.038886,0.031113,0.035675,0.014967,0.029059,0.017241,0.009794,0.021077,0.016786
1.171875,0.297753,0.088087,0.534752,0.431248,0.397952,0.082212,0.788679,1,0.594692,0.048719,0.028559,0.284878,0.409827,0.199947,0.01503,0.064756,0.007666,0.006075,0.04074,0.101804,0.020545,0.011161,0.067407,0.103589,0.054484,0.109252,0.000489,0.03704,0.066742,0.003282,0.010412,0.011594
1.5625,0.638593,0.250439,0.830944,0.792287,0.662029,0.435476,0.913079,1,0.737522,0.02033,0.17316,0.627952,0.558713,0.195399,0.073402,0.436551,0.040653,0.030169,0.040061,0.092207,0.050578,0.028249,0.069898,0.108278,0.049837,0.084799,0.014032,0.059079,0.049653,0.008549,0.035118,0.035768
1.953125,0.630356,0.404308,0.825834,0.731815,0.755437,0.47358,0.937834,1,0.851593,0.140185,0.341094,0.707517,0.487983,0.113195,0.309824,0.427249,0.114588,0.077185,0.199885,0.32574,0.195089,0.143303,0.269527,0.36679,0.295845,0.37876,0.050432,0.248994,0.126609,0.02457,0.136906,0.148508
2.34375,0.749833,0.429329,0.878107,0.766923,0.809077,0.583662,0.956814,1,0.877589,0.137982,0.47426,0.858132,0.661565,0.220008,0.451673,0.568131,0.496395,0.45742,0.549173,0.577543,0.565927,0.549231,0.590641,0.598862,0.595305,0.568789,0.464917,0.570129,0.143246,0.340913,0.540377,0.51397
2.734375,0.335082,0.012861,0.7487,0.567037,0.553193,0.098282,0.885394,1,0.682901,0.084873,0.014239,0.610364,0.280564,0.124938,0.023193,0.321996,0.11871,0.094046,0.198235,0.302161,0.195236,0.168988,0.275291,0.309405,0.309921,0.338813,0.078206,0.23058,0.159871,0.027222,0.174418,0.15596
3.125,0.441702,0.10174,0.735565,0.590249,0.605815,0.223821,0.89864,1,0.575303,0.044524,0.087789,0.619215,0.172434,0.050675,0.07606,0.284094,0.270954,0.236978,0.287244,0.359916,0.303658,0.293539,0.340723,0.381297,0.354353,0.399202,0.201818,0.341392,0.052985,0.110763,0.294506,0.320016
3.515625,0.353448,0.112962,0.717714,0.553334,0.642407,0.259054,0.891563,1,0.657395,0.024568,0.136739,0.650177,0.345588,0.086958,0.049659,0.282306,0.231183,0.21161,0.205555,0.261559,0.248716,0.261388,0.254965,0.2788,0.217857,0.268721,0.167481,0.280958,0.034172,0.128878,0.23172,0.273516
3.90625,0.305475,0.154936,0.530963,0.301953,0.767413,0.316499,0.830677,1,0.640689,0.065655,0.245439,0.628599,0.564118,0.164211,0.194733,0.135556,0.104146,0.092669,0.124944,0.11276,0.161752,0.143034,0.156621,0.134176,0.174692,0.15273,0.123492,0.158763,0.051164,0.074148,0.157239,0.154477
4.296875,0.410371,0.036098,0.738309,0.581342,0.766731,0.145226,0.895379,1,0.617163,0.02022,0.12722,0.685104,0.404033,0.181508,0.068464,0.409059,0.023711,0.035582,0.016401,0.015019,0.018015,0.026397,0.01978,0.018589,0.050449,0.060895,0.020536,0.028977,0.082574,0.047948,0.020385,0.031686
4.6875,0.369052,0.05729,0.714149,0.564007,0.682792,0.203735,0.882483,1,0.618194,0.012082,0.142051,0.651778,0.313908,0.095793,0.078623,0.400792,0.075814,0.06175,0.14153,0.13188,0.156868,0.125312,0.176366,0.140448,0.26436,0.24336,0.089179,0.192682,0.019228,0.039966,0.159114,0.180987
5.078125,0.256942,0.055139,0.691213,0.510925,0.497476,0.152167,0.861607,1,0.611515,0.073203,0.073711,0.534694,0.365068,0.237219,0.027918,0.333022,0.045352,0.028037,0.125431,0.1427,0.117245,0.085832,0.13818,0.133522,0.163229,0.209585,0.04485,0.131715,0.109152,0.026052,0.099747,0.101794
5.46875,0.322439,0.079963,0.669286,0.51803,0.456916,0.154736,0.872283,1,0.442375,0.021312,0.06728,0.368127,0.282594,0.086193,0.026159,0.238997,0.176114,0.140979,0.230573,0.206538,0.227922,0.194006,0.231166,0.203283,0.230122,0.220124,0.154477,0.215971,0.022646,0.078702,0.214934,0.193615
5.859375,0.186157,0.044771,0.543849,0.391185,0.421221,0.008845,0.86045,1,0.390728,0.115422,0.018353,0.27538,0.118876,0.086712,0.020936,0.238109,0.114971,0.07492,0.132446,0.138977,0.156662,0.105203,0.148905,0.138622,0.114905,0.080418,0.059675,0.118668,0.007436,0.018104,0.105466,0.105888
6.25,0.11507,0.227316,0.585971,0.37977,0.26737,0.193805,0.855773,1,0.43207,0.29876,0.094239,0.221994,0.161988,0.322151,0.232837,0.121324,0.026126,0.018088,0.033878,0.049056,0.031652,0.018357,0.038157,0.037763,0.020965,0.020074,0.006392,0.020249,0.012876,0.004603,0.016377,0.016937
