Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.00664,0.455113,0.047416,0.036994,0.158954,0.117362,0.099616,0.062573,0.609403,0.281245,0.112525,0.186608,0.04561,0.50828,0.216578,0.095942,0.884033,0.792533,0.935006,0.951018,0.908585,0.909793,0.963754,0.966865,0.866703,1,0.867035,0.920924,0.564218,0.587176,0.871147,0.837762
0.390625,0.032626,0.25416,0.097121,0.137996,0.109591,0.207846,0.036982,0.045795,0.350627,0.298726,0.109237,0.171164,0.04221,0.167545,0.161928,0.089572,0.847528,0.841002,0.919771,0.899862,0.903306,0.930487,0.931723,0.90801,0.963375,1,0.866612,0.920198,0.685648,0.843008,0.913764,0.903332
0.78125,0.063648,0.13674,0.029478,0.039197,0.156628,0.150516,0.013953,0.015787,0.253497,0.173677,0.167226,0.178879,0.003914,0.031159,0.123689,0.326833,0.810313,0.773535,0.879533,0.922275,0.882085,0.888413,0.921977,0.924478,0.94875,1,0.821167,0.896509,0.521127,0.7553,0.871911,0.859248
1.171875,0.087688,0.028596,0.022538,0.035712,0.039655,0.062746,0.015156,0.009029,0.039681,0.044863,0.090322,0.068719,0.015106,0.028645,0.044923,0.111941,0.586266,0.549821,0.726217,0.827196,0.712222,0.702579,0.788314,0.818172,0.859072,1,0.576727,0.738597,0.202259,0.482153,0.674298,0.681476
1.5625,0.054529,0.009901,0.013614,0.003369,0.017122,0.032776,0.011751,0.017924,0.152609,0.027318,0.075645,0.048779,0.03847,0.060356,0.095289,0.062399,0.484149,0.438321,0.722988,0.789251,0.631692,0.670335,0.779748,0.786823,0.888078,1,0.471969,0.707403,0.07192,0.374768,0.626746,0.607568
1.953125,0.018245,0.022614,0.199249,0.091429,0.005053,0.011429,0.16538,0.108911,0.334451,0.050959,0.037007,0.130903,0.026151,0.052317,0.065543,0.07885,0.29606,0.213686,0.72172,0.858637,0.540141,0.523304,0.783902,0.840396,0.896251,1,0.185605,0.637795,0.060682,0.061968,0.470618,0.440949
2.34375,0.036805,0.004944,0.327931,0.204587,0.097825,0.044171,0.289762,0.271345,0.440936,0.079758,0.018298,0.218128,0.128493,0.134489,0.015367,0.101774,0.515765,0.400973,0.822666,0.900462,0.761752,0.718644,0.877799,0.89361,0.949448,1,0.359693,0.82404,0.194046,0.121985,0.695964,0.693919
2.734375,0.011699,0.007552,0.30695,0.174066,0.066359,0.035793,0.342005,0.347514,0.514721,0.146909,0.025509,0.179097,0.231319,0.263118,0.040312,0.008508,0.566691,0.470979,0.840186,0.918388,0.781889,0.789241,0.901179,0.911754,0.947737,1,0.462387,0.857966,0.275444,0.238228,0.743735,0.71905
3.125,0.040218,0.011652,0.119322,0.059041,0.009082,0.02539,0.136398,0.115059,0.509252,0.130432,0.03795,0.056404,0.163646,0.188091,0.088955,0.0051,0.354446,0.251485,0.718459,0.885002,0.623822,0.597479,0.836479,0.883887,0.908284,1,0.185723,0.747146,0.232578,0.080868,0.497836,0.533207
3.515625,0.01608,0.043628,0.155988,0.076408,0.024635,0.041744,0.117669,0.052585,0.315349,0.027457,0.016968,0.165787,0.109559,0.077942,0.010678,0.037687,0.356418,0.258938,0.667355,0.83196,0.574759,0.570498,0.794615,0.836027,0.898024,1,0.241039,0.696212,0.075968,0.079448,0.522287,0.510519
3.90625,0.06756,0.021759,0.255315,0.165856,0.138729,0.008724,0.246651,0.201537,0.350786,0.01239,0.027017,0.256093,0.077815,0.00394,0.019166,0.120519,0.549307,0.448783,0.737718,0.876462,0.726049,0.723796,0.867065,0.889886,0.911323,1,0.420729,0.803231,0.065999,0.201498,0.690013,0.669406
4.296875,0.089926,0.070245,0.223374,0.16675,0.114148,0.059278,0.20925,0.146161,0.347639,0.096323,0.120943,0.218188,0.106698,0.022578,0.051337,0.124801,0.479386,0.38482,0.745479,0.842406,0.669836,0.671522,0.828234,0.835764,0.905688,1,0.376398,0.767483,0.061729,0.158093,0.643445,0.642812
4.6875,0.056287,0.018641,0.083376,0.064988,0.006792,0.011587,0.087469,0.052313,0.174956,0.098733,0.034384,0.011369,0.050005,0.072373,0.044961,0.002587,0.455767,0.358506,0.749882,0.828576,0.654328,0.664261,0.844775,0.840015,0.894976,1,0.297374,0.767377,0.079888,0.097099,0.619395,0.593064
5.078125,0.107414,0.067139,0.241438,0.203002,0.092442,0.052632,0.141426,0.063667,0.19014,0.073151,0.026297,0.097732,0.017892,0.094707,0.041614,0.062948,0.669246,0.566328,0.740748,0.854989,0.786235,0.787878,0.869325,0.88048,0.89891,1,0.509695,0.878603,0.100717,0.201207,0.777361,0.765888
5.46875,0.04399,0.057299,0.158572,0.114633,0.028605,0.041417,0.090165,0.037857,0.254148,0.067293,0.031694,0.083026,0.013879,0.086456,0.027592,0.055074,0.652304,0.596605,0.750447,0.854594,0.761348,0.763579,0.860211,0.871097,0.915852,1,0.612269,0.844834,0.01835,0.390819,0.781728,0.755419
5.859375,0.011669,0.001544,0.051857,0.024791,0.003594,0.008829,0.065104,0.03415,0.192777,0.07484,0.030767,0.015381,0.030562,0.052911,0.046468,0.017841,0.609664,0.544793,0.725275,0.82908,0.736001,0.753613,0.855307,0.846693,0.895623,1,0.586942,0.79596,0.055478,0.406375,0.747366,0.707581
6.25,0.053426,0.01131,0.079474,0.069081,0.059539,0.006644,0.03283,0.021416,0.148949,0.030679,0.080522,0.100758,0.143222,0.040742,0.04866,0.138283,0.562251,0.492289,0.659532,0.772366,0.693716,0.722145,0.821688,0.787941,0.888975,1,0.50848,0.769785,0.076657,0.356219,0.693734,0.648346
6.640625,0.0111,0.007109,0.039048,0.023946,0.005103,0.002753,0.027578,0.022962,0.156424,0.031113,0.009102,0.03723,0.104535,0.059352,0.015569,0.030431,0.547548,0.479771,0.549606,0.733097,0.693838,0.7148,0.795103,0.801833,0.883326,1,0.44088,0.784755,0.036866,0.298846,0.640792,0.653848
7.03125,0.020729,0.037863,0.144552,0.100964,0.015209,0.018625,0.118606,0.08777,0.238419,0.029939,0.009342,0.080551,0.109074,0.031607,0.131086,0.088337,0.696627,0.620323,0.664454,0.806464,0.813888,0.851869,0.866737,0.858357,0.923167,1,0.592238,0.881314,0.057202,0.429638,0.759239,0.778917
7.421875,0.012951,0.030662,0.020986,0.004332,0.006646,0.019962,0.041104,0.051088,0.178205,0.05586,0.021553,0.035288,0.050783,0.007921,0.083089,0.120558,0.618794,0.537256,0.635854,0.777442,0.739004,0.809899,0.848789,0.823579,0.899546,1,0.578225,0.828725,0.045153,0.386109,0.735666,0.683632
