Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.447187,1,0.594777,0.110944,0.022986,0.503269,0.362974,0.79026,0.189598,0.000269,0.293287,0.446608,0.741503,0.836858,0.088262,0.923109,0.418116,0.013525,0.003092,0.240197,0.001581,0.05489,0.454602,0.293904,0.043178,0.038895,0.126861,0.214099,0.486909,0.636072,0.402144,0.159027
0.390625,0.320128,1,0.527943,0.126073,0.045182,0.338055,0.407921,0.658587,0.127949,0.160974,0.305428,0.457244,0.588184,0.848108,0.165154,0.812437,0.238126,0.033625,0.058818,0.108839,0.028913,0.070677,0.265879,0.119611,0.065322,0.066066,0.082271,0.088022,0.392539,0.285925,0.151479,0.14022
0.78125,0.292571,1,0.51994,0.403718,0.008246,0.166002,0.606406,0.455142,0.029801,0.470485,0.294494,0.199393,0.330135,0.670027,0.440097,0.540192,0.09659,0.034465,0.032981,0.0191,0.014562,0.025921,0.026622,0.002215,0.003979,0.002683,0.058087,0.040774,0.18936,0.003022,0.000204,0.022227
1.171875,0.24657,1,0.333148,0.330373,0.064053,0.119931,0.393083,0.204863,0.036079,0.33661,0.333984,0.208248,0.134047,0.423626,0.233165,0.46964,0.014999,0.007181,0.012166,0.008614,0.003461,0.001228,0.003798,0.002384,0.002225,0.000841,0.002965,0.003327,0.030981,0.003605,0.001364,0.00203
1.5625,0.24867,1,0.290748,0.240131,0.065132,0.207367,0.399767,0.395541,0.123337,0.332098,0.235966,0.207904,0.179345,0.308253,0.185158,0.409388,0.030345,0.022622,0.010167,0.004838,0.008657,0.009726,0.007008,0.003644,0.007226,0.011893,0.042311,0.001839,0.100112,0.038049,0.009791,0.002962
1.953125,0.050927,1,0.031871,0.060356,0.018808,0.322679,0.103632,0.064077,0.039805,0.14715,0.076909,0.032533,0.00389,0.016204,0.021442,0.237917,0.028851,0.018206,0.038002,0.039434,0.038954,0.036609,0.051212,0.033203,0.047072,0.054523,0.046541,0.047488,0.034089,0.017634,0.032801,0.032912
2.34375,0.277602,1,0.109476,0.026967,0.162213,0.496832,0.128112,0.189155,0.13758,0.035001,0.024196,0.199545,0.168726,0.129187,0.137775,0.19986,0.020632,0.018593,0.006507,0.07465,0.036065,0.015839,0.04285,0.089318,0.026634,0.083405,0.001777,0.066965,0.131677,0.012569,0.016287,0.049581
2.734375,0.138981,1,0.072151,0.010853,0.020687,0.387126,0.10227,0.172442,0.065343,0.02603,0.036859,0.129933,0.188692,0.135556,0.154257,0.232184,0.064918,0.063272,0.009216,0.115197,0.102331,0.068122,0.10027,0.150325,0.090487,0.116239,0.043553,0.142823,0.047307,0.01672,0.091418,0.121939
3.125,0.184179,1,0.108449,0.02829,0.085151,0.377309,0.118199,0.147502,0.05708,0.092179,0.118477,0.069585,0.080677,0.101597,0.106435,0.161486,0.058052,0.057666,0.065647,0.115239,0.098501,0.074849,0.091936,0.120897,0.104375,0.141444,0.062321,0.112732,0.064854,0.026117,0.0776,0.113439
3.515625,0.241501,1,0.205965,0.108867,0.110223,0.450742,0.256384,0.295567,0.149671,0.084987,0.032549,0.203751,0.16947,0.247986,0.123386,0.141992,0.132998,0.126029,0.094784,0.16255,0.158895,0.116954,0.145608,0.17599,0.103401,0.16064,0.086502,0.174279,0.056821,0.043403,0.122402,0.163458
