Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.16096,0.373345,0.666456,0.651322,0.008658,0.031255,0.581273,0.630528,0.197985,0.843462,0.419614,0.101244,0.368624,0.404742,1,0.096774,0.135722,0.189594,0.118547,0.059602,0.119366,0.114564,0.063667,0.029205,0.110985,0.045941,0.119673,0.121619,0.241168,0.137631,0.129768,0.1608
0.390625,0.261374,0.523418,0.737189,0.684647,0.039492,0.103773,0.673866,0.619242,0.28138,0.892152,0.600171,0.255595,0.393771,0.603782,1,0.268609,0.071392,0.11966,0.079081,0.074802,0.077226,0.087383,0.064421,0.053922,0.090349,0.073408,0.114621,0.078281,0.179861,0.163731,0.112727,0.117551
0.78125,0.111164,0.386422,0.675216,0.580696,0.065407,0.099631,0.647877,0.492896,0.218808,0.86571,0.540462,0.200425,0.236344,0.455934,1,0.123686,0.039061,0.041281,0.009359,0.048493,0.018782,0.012241,0.012977,0.036709,0.008232,0.036925,0.047066,0.008736,0.21596,0.090922,0.0264,0.022093
1.171875,0.046713,0.369634,0.62356,0.657015,0.039178,0.054704,0.668559,0.381502,0.209895,0.908172,0.550371,0.213006,0.341804,0.649479,1,0.241765,0.098979,0.116086,0.046976,0.076416,0.048098,0.054781,0.038452,0.05498,0.057951,0.118152,0.156646,0.034153,0.382382,0.229965,0.089615,0.062107
1.5625,0.070162,0.185702,0.526814,0.535887,0.08321,0.034795,0.500353,0.233553,0.096746,0.774449,0.473518,0.277608,0.383348,0.654816,1,0.166706,0.02993,0.030202,0.065116,0.119225,0.044111,0.048573,0.073736,0.096103,0.070109,0.111661,0.038523,0.051717,0.223219,0.07304,0.035372,0.039784
1.953125,0.038225,0.038673,0.270089,0.271088,0.084663,0.119928,0.264543,0.101074,0.002965,0.546022,0.343385,0.175305,0.112906,0.420732,1,0.080876,0.21773,0.21814,0.095526,0.128094,0.177016,0.188835,0.168685,0.136262,0.174758,0.164984,0.239594,0.196744,0.216026,0.256709,0.224907,0.226501
2.34375,0.093642,0.122539,0.182112,0.294883,0.074921,0.217834,0.121193,0.057249,0.011955,0.511695,0.296013,0.218077,0.185406,0.47928,1,0.176838,0.040389,0.034154,0.089142,0.073114,0.049499,0.056792,0.059124,0.051182,0.066985,0.045055,0.044588,0.038419,0.048211,0.053438,0.041167,0.057847
2.734375,0.093565,0.14122,0.053434,0.255671,0.101413,0.196397,0.086206,0.0917,0.097909,0.537071,0.315969,0.20547,0.083235,0.39321,1,0.240166,0.100241,0.088799,0.083413,0.078965,0.096644,0.113773,0.080871,0.067601,0.099019,0.077276,0.110175,0.085301,0.05465,0.144728,0.103782,0.113591
3.125,0.143209,0.224025,0.057047,0.163144,0.067029,0.160217,0.048574,0.028971,0.053928,0.46806,0.292781,0.142988,0.105872,0.319505,1,0.126094,0.004458,0.006899,0.009015,0.021287,0.007113,0.012294,0.009734,0.014635,0.010996,0.013951,0.009007,0.010737,0.033241,0.016181,0.007965,0.013122
3.515625,0.17979,0.172887,0.015138,0.021848,0.13469,0.109063,0.013376,0.012107,0.004514,0.279669,0.166086,0.069974,0.053888,0.247695,1,0.14686,0.037066,0.055784,0.007365,0.015086,0.02079,0.031918,0.018455,0.019512,0.015493,0.024644,0.045545,0.027685,0.050216,0.0646,0.038767,0.031957
