Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.445797,0.475201,0.949594,0.879833,0.667299,0.085355,1,0.823115,0.68685,0.820381,0.301233,0.752138,0.861698,0.840089,0.725417,0.858866,0.133834,0.106502,0.085656,0.124409,0.106962,0.112717,0.136429,0.148546,0.097412,0.080292,0.093723,0.116591,0.077397,0.051323,0.098629,0.096724
0.390625,0.425,0.522304,0.877723,0.823958,0.479639,0.110571,1,0.649778,0.403397,0.482533,0.142918,0.576275,0.698249,0.679337,0.342716,0.714415,0.085441,0.076809,0.126623,0.061881,0.13046,0.118838,0.100702,0.089007,0.154541,0.134471,0.12155,0.118947,0.121424,0.121069,0.127,0.126074
0.78125,0.383397,0.334895,0.886492,0.855118,0.495209,0.08084,1,0.659269,0.61942,0.350801,0.061633,0.44427,0.519424,0.56114,0.151235,0.635548,0.030892,0.030165,0.034847,0.030867,0.048233,0.048237,0.039879,0.037463,0.073115,0.061273,0.03972,0.060982,0.037436,0.040309,0.054178,0.06808
1.171875,0.562238,0.099095,0.942804,0.903784,0.590167,0.014796,1,0.668777,0.59019,0.247329,0.006441,0.719888,0.50388,0.442798,0.065633,0.709704,0.001916,0.002017,0.006574,0.006898,0.000142,0.000988,0.002517,0.003795,0.010164,0.021162,0.003316,0.000616,0.017508,0.005448,0.001765,0.002764
1.5625,0.533606,0.078858,0.937487,0.857561,0.636421,0.160638,1,0.813525,0.617938,0.019636,0.100278,0.666895,0.522836,0.313031,0.048414,0.658545,0.052118,0.048461,0.034822,0.042224,0.052429,0.045538,0.040772,0.046205,0.02785,0.030048,0.041796,0.048946,0.046782,0.048488,0.040312,0.051093
1.953125,0.502452,0.093471,0.922002,0.799983,0.625156,0.164548,1,0.77915,0.517739,0.067643,0.145618,0.645211,0.341109,0.089042,0.123329,0.576106,0.130979,0.137902,0.064082,0.139502,0.119038,0.112222,0.124283,0.149476,0.076576,0.087844,0.101021,0.119764,0.039783,0.095633,0.10685,0.107984
2.34375,0.573937,0.089582,0.925638,0.736391,0.552934,0.135953,1,0.677923,0.671594,0.018402,0.07225,0.683325,0.234076,0.120231,0.026992,0.576297,0.186974,0.176976,0.156813,0.213838,0.197542,0.179758,0.2218,0.235613,0.175023,0.187831,0.149152,0.203748,0.037003,0.085546,0.1985,0.161035
2.734375,0.497407,0.023261,0.929309,0.769016,0.487858,0.060743,1,0.723279,0.629777,0.012955,0.023366,0.645341,0.081455,0.031005,0.010836,0.49726,0.082059,0.059064,0.171971,0.206486,0.134219,0.125381,0.195063,0.217463,0.194744,0.20632,0.039423,0.143035,0.181701,0.0088,0.114264,0.088175
3.125,0.508755,0.060014,0.940874,0.8438,0.610598,0.157526,1,0.768584,0.745809,0.116784,0.110427,0.679832,0.310537,0.107831,0.025595,0.671379,0.025484,0.022969,0.037946,0.040984,0.058448,0.038866,0.051598,0.065669,0.057218,0.046825,0.019315,0.064763,0.021403,0.007239,0.049975,0.058411
3.515625,0.550266,0.110542,0.935843,0.840189,0.556338,0.221957,1,0.7734,0.747833,0.053377,0.133239,0.654288,0.332292,0.109006,0.037198,0.66681,0.025646,0.037123,0.004935,0.016391,0.024104,0.021144,0.022139,0.04334,0.017019,0.00645,0.019474,0.040922,0.008797,0.014005,0.032623,0.041543
3.90625,0.516707,0.130468,0.940184,0.792439,0.679993,0.263642,1,0.823703,0.686763,0.102576,0.13157,0.758428,0.431265,0.237376,0.005727,0.66998,0.096728,0.102586,0.062404,0.094152,0.093261,0.101265,0.093248,0.128742,0.098246,0.117241,0.079369,0.10819,0.005762,0.077479,0.084483,0.118201
4.296875,0.379951,0.095072,0.926091,0.834676,0.581775,0.208458,1,0.846599,0.611183,0.236782,0.058392,0.622607,0.42166,0.355304,0.120065,0.573536,0.148262,0.156858,0.057475,0.101515,0.13559,0.151107,0.11011,0.139703,0.106883,0.102838,0.137762,0.156082,0.090701,0.152935,0.132506,0.169004
4.6875,0.33301,0.158386,0.933644,0.809637,0.628276,0.303185,1,0.86979,0.741141,0.134157,0.106384,0.694354,0.547785,0.368483,0.03234,0.589226,0.17922,0.175123,0.099127,0.121896,0.175746,0.164118,0.143543,0.140987,0.125177,0.103881,0.171626,0.179663,0.039422,0.125532,0.179079,0.202438
5.078125,0.23095,0.280983,0.901587,0.794954,0.535264,0.407753,1,0.789556,0.676795,0.241164,0.249227,0.398229,0.455273,0.280633,0.177983,0.364369,0.124595,0.124243,0.064402,0.055221,0.117819,0.094421,0.088962,0.08056,0.068926,0.039987,0.120899,0.1166,0.081235,0.102882,0.127484,0.116509
5.46875,0.344434,0.174754,0.901247,0.82634,0.520464,0.301755,1,0.807162,0.590707,0.210217,0.096981,0.423731,0.423031,0.374849,0.111945,0.50763,0.096967,0.106263,0.036377,0.049614,0.08003,0.079659,0.063363,0.065656,0.043177,0.047166,0.088226,0.09689,0.084612,0.080674,0.090333,0.106326
5.859375,0.235113,0.161245,0.927069,0.816549,0.577594,0.294551,1,0.792025,0.669356,0.256726,0.132021,0.406941,0.440821,0.268266,0.103155,0.57049,0.016484,0.020955,0.005878,0.031549,0.015198,0.011267,0.020802,0.027141,0.011565,0.012968,0.009442,0.020189,0.00172,0.005334,0.014784,0.012902
6.25,0.252188,0.052429,0.917812,0.753541,0.561634,0.138851,1,0.802779,0.491207,0.089171,0.082185,0.503986,0.482713,0.259758,0.035647,0.516873,0.021877,0.020999,0.040347,0.042044,0.029591,0.02932,0.042143,0.042238,0.07916,0.046459,0.016863,0.033328,0.007194,0.010775,0.029045,0.032374
