Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.124739,0.013265,0.072251,0.017258,0.059492,1,0.085355,0.159484,0.204807,0.021185,0.000552,0.017191,0.059242,0.056152,0.024051,0.010156,0.032864,0.051008,0.009008,0.015536,0.027136,0.029917,0.004983,0.004582,0.007213,0.001301,0.017577,0.030074,0.121562,0.052643,0.018279,0.065712
0.390625,0.043596,0.353795,0.170885,0.139642,0.065616,1,0.110571,0.063689,0.020788,0.245456,0.224644,0.087964,0.084124,0.068414,0.194271,0.229633,0.077377,0.071947,0.153194,0.143843,0.128969,0.132143,0.152303,0.142303,0.185495,0.216804,0.115001,0.13766,0.071831,0.08812,0.129193,0.135715
0.78125,0.077542,0.632916,0.116909,0.11531,0.237922,1,0.08084,0.133915,0.042893,0.310617,0.438973,0.027087,0.225391,0.105441,0.368857,0.187824,0.025189,0.022029,0.0499,0.067047,0.019964,0.016259,0.031345,0.035,0.013156,0.022116,0.010999,0.013459,0.072576,0.024703,0.011517,0.018827
1.171875,0.063791,0.791293,0.01103,0.033114,0.317856,1,0.014796,0.232348,0.225644,0.320971,0.537815,0.076183,0.188074,0.038554,0.440551,0.041047,0.19949,0.19838,0.080225,0.081732,0.147232,0.13622,0.104164,0.100415,0.04699,0.049371,0.178604,0.140763,0.22943,0.209482,0.14894,0.162892
1.5625,0.369637,0.846653,0.154956,0.101427,0.534114,1,0.160638,0.237782,0.356777,0.412917,0.729605,0.355382,0.369419,0.065845,0.457794,0.127068,0.191723,0.17865,0.131254,0.122011,0.187777,0.186176,0.14533,0.145019,0.136123,0.121017,0.191039,0.191302,0.201579,0.205713,0.194917,0.210515
1.953125,0.276644,0.883376,0.152891,0.076697,0.590659,1,0.164548,0.345821,0.486203,0.485998,0.738721,0.428126,0.523172,0.175095,0.513038,0.076363,0.206763,0.196817,0.074988,0.092574,0.173844,0.179884,0.115709,0.121828,0.100043,0.098763,0.217723,0.184426,0.166665,0.254052,0.196683,0.214963
2.34375,0.181016,0.897794,0.06077,0.046729,0.500679,1,0.135953,0.448134,0.293448,0.450889,0.678258,0.26373,0.4421,0.122521,0.428291,0.044724,0.15229,0.149371,0.113533,0.132622,0.152074,0.160412,0.144525,0.15162,0.141361,0.165104,0.162134,0.169745,0.016857,0.148875,0.176299,0.168137
2.734375,0.14009,0.943653,0.034725,0.01796,0.451326,1,0.060743,0.297866,0.270872,0.50763,0.691648,0.20078,0.33142,0.078585,0.411286,0.038914,0.297287,0.308609,0.162919,0.164425,0.262064,0.282957,0.207227,0.197855,0.180534,0.176991,0.328534,0.290173,0.029195,0.272117,0.322818,0.333626
3.125,0.162055,0.916439,0.203127,0.159001,0.491831,1,0.157526,0.20591,0.281901,0.504179,0.724274,0.270237,0.484898,0.128724,0.418762,0.10049,0.156443,0.161217,0.031701,0.029307,0.134502,0.126963,0.063532,0.053624,0.051585,0.027772,0.186675,0.136621,0.077474,0.185016,0.175434,0.207589
3.515625,0.352614,0.94068,0.242284,0.174274,0.679849,1,0.221957,0.326412,0.308193,0.615517,0.842931,0.391091,0.509647,0.111732,0.577237,0.12592,0.132084,0.152045,0.015517,0.037066,0.107166,0.114602,0.063892,0.071479,0.04863,0.029099,0.154008,0.147392,0.133729,0.164727,0.154723,0.190956
3.90625,0.330174,0.888602,0.278363,0.189056,0.628107,1,0.263642,0.298059,0.337684,0.256096,0.683532,0.347715,0.341499,0.053601,0.30042,0.138915,0.193939,0.207065,0.129346,0.153328,0.209878,0.245389,0.198176,0.208946,0.21909,0.214461,0.224667,0.249557,0.048301,0.198032,0.245504,0.26367
4.296875,0.358181,0.932896,0.312889,0.306322,0.624298,1,0.208458,0.129512,0.340078,0.233008,0.625805,0.353906,0.472556,0.240716,0.270536,0.237985,0.162089,0.173983,0.090804,0.105632,0.150728,0.171752,0.111771,0.131524,0.092357,0.085972,0.126486,0.17705,0.063745,0.133915,0.142767,0.193461
4.6875,0.374457,0.911792,0.411361,0.42765,0.660311,1,0.303185,0.206666,0.337062,0.19094,0.551958,0.335936,0.511062,0.257723,0.173609,0.317237,0.201794,0.200754,0.053918,0.07599,0.154579,0.162051,0.099418,0.10404,0.08888,0.08011,0.20028,0.181111,0.130706,0.206889,0.181799,0.218648
5.078125,0.479473,0.935472,0.531557,0.498229,0.614409,1,0.407753,0.216417,0.513051,0.286795,0.618854,0.480455,0.469049,0.20552,0.276341,0.376834,0.047934,0.055783,0.005488,0.026484,0.027113,0.024038,0.02346,0.036096,0.007035,0.012375,0.037589,0.040559,0.028079,0.036856,0.038086,0.04833
5.46875,0.306151,0.938644,0.455896,0.408667,0.523995,1,0.301755,0.155025,0.37712,0.33392,0.570128,0.432774,0.551509,0.441683,0.353989,0.221536,0.095213,0.104819,0.064201,0.075056,0.081868,0.077752,0.069547,0.076068,0.063189,0.073769,0.084923,0.098407,0.096087,0.077411,0.089843,0.107935
5.859375,0.341226,0.934558,0.433904,0.381993,0.55728,1,0.294551,0.234175,0.431157,0.43041,0.57598,0.350231,0.500312,0.369754,0.382466,0.181972,0.014909,0.013671,0.049171,0.054788,0.022998,0.02016,0.036665,0.038052,0.038281,0.034336,0.006988,0.020847,0.003798,0.001902,0.015103,0.01154
6.25,0.234383,0.934432,0.220188,0.245678,0.38907,1,0.138851,0.064157,0.394574,0.346357,0.524287,0.204822,0.361569,0.238932,0.308557,0.048135,0.055757,0.059205,0.123562,0.142068,0.059587,0.068085,0.106438,0.12848,0.095167,0.085592,0.024228,0.066488,0.020619,0.01632,0.04777,0.048717
