Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.35332,0.123948,0.132963,0.299744,0.574677,0.054731,0.062055,0.027547,0.019174,0.402927,0.437767,0.004478,0.308763,0.222575,0.527132,0.004306,0.707994,0.856199,0.197641,0.087628,0.55454,0.502506,0.141195,0.127272,0.505164,0.042041,0.779597,0.475117,0.888775,1,0.734264,0.576573
0.390625,0.080588,0.241204,0.155136,0.223689,0.232678,0.022332,0.099095,0.09051,0.040525,0.434126,0.417162,0.072265,0.129398,0.27111,0.396133,0.095807,0.872642,0.927547,0.634321,0.56547,0.797647,0.823411,0.658984,0.570686,0.725445,0.632234,0.911002,0.780179,0.831084,1,0.896587,0.839781
0.78125,0.076752,0.153243,0.031786,0.062491,0.165299,0.072896,0.028245,0.038377,0.110833,0.273631,0.227672,0.080673,0.026497,0.10338,0.278606,0.084572,0.868096,0.912348,0.56717,0.549326,0.762077,0.813343,0.614102,0.558415,0.675632,0.576013,0.908014,0.757402,0.812787,1,0.855459,0.829902
1.171875,0.110679,0.075495,0.029567,0.05457,0.106922,0.112786,0.029442,0.002465,0.250025,0.164731,0.122836,0.208107,0.120203,0.06281,0.213845,0.033306,0.803874,0.860432,0.468376,0.461549,0.693266,0.753765,0.515211,0.424361,0.596851,0.481324,0.888769,0.664375,0.754696,1,0.817328,0.756176
1.5625,0.135681,0.017299,0.034276,0.05827,0.107802,0.068358,0.073491,0.030577,0.102473,0.159498,0.137567,0.22214,0.05225,0.06986,0.215497,0.038209,0.830895,0.859363,0.485679,0.403838,0.694323,0.792551,0.521882,0.352685,0.582229,0.440666,0.927335,0.676287,0.759968,1,0.818436,0.771702
1.953125,0.151783,0.020468,0.02621,0.017936,0.172788,0.026252,0.028401,0.053665,0.037832,0.181305,0.243219,0.24114,0.000456,0.002374,0.263765,0.130301,0.723319,0.782867,0.148676,0.131334,0.463233,0.608324,0.225219,0.135458,0.319592,0.180243,0.879539,0.48941,0.671938,1,0.673661,0.637593
2.34375,0.189886,0.017958,0.062345,0.030701,0.081269,0.037189,0.079214,0.120063,0.105368,0.036097,0.074835,0.132824,0.009564,0.002182,0.026501,0.074807,0.674534,0.76193,0.109964,0.097263,0.350299,0.543455,0.161893,0.103296,0.195536,0.136133,0.866193,0.377812,0.573809,1,0.592713,0.569393
2.734375,0.129849,0.005567,0.158658,0.127587,0.187448,0.022452,0.161507,0.194417,0.17713,0.0319,0.032533,0.231622,0.109676,0.069624,0.048596,0.186346,0.780166,0.834109,0.316346,0.288247,0.526258,0.677866,0.40161,0.299812,0.363929,0.293527,0.892186,0.561764,0.406847,1,0.713015,0.683945
3.125,0.112807,0.028939,0.137276,0.105309,0.142016,0.008,0.132095,0.105557,0.129648,0.012502,0.10917,0.163572,0.058562,0.047887,0.098353,0.086067,0.750184,0.780635,0.366567,0.319511,0.5745,0.65777,0.409579,0.319929,0.348309,0.297146,0.878559,0.543219,0.250715,1,0.685795,0.630923
3.515625,0.154341,0.020252,0.155574,0.11231,0.096982,0.038061,0.145144,0.13479,0.073606,0.033581,0.072506,0.102687,0.029723,0.076534,0.018094,0.032942,0.722498,0.783732,0.385826,0.383676,0.578101,0.685274,0.46147,0.385096,0.446733,0.361758,0.889205,0.575785,0.299487,1,0.694832,0.658404
3.90625,0.063987,0.090005,0.104655,0.083956,0.055954,0.081059,0.071164,0.069364,0.075854,0.02516,0.00655,0.03669,0.032237,0.077066,0.059144,0.001132,0.680467,0.776432,0.253018,0.235772,0.448921,0.583971,0.318525,0.245363,0.317954,0.239567,0.862263,0.452249,0.338047,1,0.610716,0.551426
4.296875,0.065151,0.041093,0.036302,0.042894,0.047082,0.042492,0.044259,0.039766,0.056288,0.030862,0.000923,0.043817,0.0141,0.034487,0.045556,0.021011,0.543277,0.641384,0.178901,0.156668,0.341083,0.454823,0.217868,0.156498,0.229033,0.176582,0.814831,0.326104,0.301533,1,0.504481,0.451816
4.6875,0.008637,0.057975,0.018492,0.009453,0.001479,0.032969,0.007361,0.005755,0.016674,0.017701,0.004603,0.009766,0.033377,0.029698,0.055584,0.035473,0.51258,0.654214,0.137651,0.095452,0.298726,0.446677,0.174445,0.104103,0.195564,0.145679,0.855496,0.301203,0.492965,1,0.545357,0.421552
5.078125,0.091252,0.006839,0.100222,0.075675,0.003264,0.004548,0.09722,0.086534,0.184506,0.066805,0.011631,0.095397,0.037036,0.053801,0.01506,0.02873,0.691526,0.772212,0.324954,0.363204,0.543637,0.679196,0.437717,0.373279,0.424912,0.42364,0.888697,0.572895,0.458358,1,0.704546,0.651233
5.46875,0.027854,0.026425,0.085568,0.086701,0.01402,0.039321,0.097816,0.102041,0.141814,0.125636,0.002971,0.064425,0.046155,0.062259,0.086712,0.003744,0.617614,0.739674,0.209858,0.225403,0.418954,0.565258,0.301528,0.234139,0.306282,0.250166,0.836928,0.460952,0.391475,1,0.585989,0.574474
5.859375,0.037061,0.046576,0.007801,0.013933,0.008421,0.01347,0.019452,0.015823,0.029184,0.03122,0.025839,0.000921,0.028493,0.041622,0.012756,0.011967,0.645099,0.758926,0.133926,0.118841,0.365451,0.556469,0.212781,0.135688,0.199596,0.124922,0.858089,0.410781,0.629317,1,0.596548,0.571794
6.25,0.027742,0.027654,0.024845,0.033282,0.016665,0.04826,0.062281,0.049356,0.010702,0.012176,0.013321,0.027401,0.035902,0.047449,0.008279,0.016791,0.60864,0.716438,0.089131,0.082946,0.380611,0.543695,0.204278,0.134057,0.22155,0.187481,0.855766,0.468267,0.541632,1,0.625905,0.622495
6.640625,0.008937,0.105081,0.045314,0.039447,0.070207,0.071058,0.034753,0.043014,0.039935,0.019687,0.014345,0.090949,0.060503,0.076816,0.014499,0.025761,0.666277,0.772683,0.116069,0.117996,0.404062,0.624598,0.246991,0.181431,0.254902,0.262477,0.869586,0.534483,0.720153,1,0.668685,0.674166
7.03125,0.109084,0.022252,0.056258,0.034728,0.016554,0.009733,0.048147,0.041871,0.092199,0.021716,0.00244,0.092023,0.053611,0.094937,0.029777,0.037756,0.695407,0.83303,0.091129,0.125745,0.39718,0.665341,0.234729,0.167233,0.249645,0.240717,0.880748,0.536129,0.74961,1,0.671183,0.712376
7.421875,0.167062,0.05245,0.032904,0.044685,0.036769,0.073928,0.036057,0.045201,0.166786,0.029554,0.044632,0.077001,0.008792,0.00868,0.032916,0.149534,0.591094,0.750789,0.1643,0.119546,0.352524,0.582268,0.210824,0.129509,0.265798,0.170784,0.896941,0.448382,0.768115,1,0.681777,0.643772
7.8125,0.040854,0.068121,0.002595,0.004301,0.013435,0.012659,0.0016,0.002487,0.029114,0.020973,0.012953,0.020937,0.048085,0.031559,0.030306,0.059016,0.515532,0.713915,0.012569,0.02728,0.208083,0.466567,0.073126,0.041504,0.075638,0.091232,0.828712,0.343645,0.658663,1,0.525065,0.555967
8.203125,0.028944,0.023836,0.078499,0.023165,0.018424,0.010018,0.074973,0.073058,0.025915,0.053115,0.042356,0.07084,0.118069,0.09993,0.072813,0.070239,0.764755,0.848716,0.067362,0.111754,0.518632,0.701233,0.25618,0.159533,0.25259,0.26504,0.895224,0.599542,0.783396,1,0.735112,0.781308
8.59375,0.160709,0.076424,0.234142,0.167002,0.077152,0.021565,0.232037,0.192385,0.206676,0.144533,0.019063,0.205505,0.006287,0.085631,0.045178,0.052342,0.797742,0.866672,0.170792,0.292777,0.611345,0.781575,0.436194,0.360158,0.450412,0.482184,0.937205,0.711564,0.764357,1,0.83456,0.811877
8.984375,0.152734,0.020951,0.235063,0.159397,0.082208,0.021117,0.273922,0.23562,0.374072,0.223845,0.037936,0.18207,0.013212,0.059597,0.032177,0.040569,0.789041,0.859088,0.185043,0.327377,0.605355,0.736233,0.434589,0.37944,0.448247,0.445846,0.936019,0.687811,0.76616,1,0.818908,0.793229
