Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.716274,0.011566,0.426768,0.751767,0.083428,0.075751,0.244722,1,0.011455,0.857157,0.000103,0.199682,0.405321,0.087066,0.903138,0.026851,0.247318,0.193204,0.14405,0.213441,0.187914,0.194771,0.075954,0.012639,0.218375,0.000633,0.222052,0.307258,0.12673,0.034594,0.050375,0.4129
0.390625,0.631845,0.098931,0.394276,0.631401,0.26649,0.107603,0.453345,1,0.047276,0.62294,0.055373,0.258548,0.459903,0.062796,0.571212,0.178132,0.058554,0.060398,0.076818,0.077675,0.028911,0.07112,0.012791,0.014315,0.089848,0.076578,0.049645,0.088615,0.122716,0.040858,0.057911,0.13737
0.78125,0.513318,0.067241,0.407904,0.459092,0.191666,0.145544,0.605554,1,0.148402,0.236229,0.008844,0.170104,0.420234,0.18802,0.158965,0.171816,0.066552,0.059092,0.098062,0.126032,0.114554,0.108639,0.138239,0.19865,0.130884,0.19914,0.071714,0.116515,0.122139,0.065824,0.141344,0.093319
1.171875,0.514479,0.006144,0.560565,0.391081,0.256297,0.032021,0.695242,1,0.571147,0.18036,0.041551,0.292056,0.323057,0.116137,0.074943,0.10934,0.228251,0.204002,0.199277,0.332481,0.323689,0.25517,0.320661,0.372968,0.281625,0.356387,0.212968,0.340278,0.174857,0.167642,0.272181,0.293919
1.5625,0.394131,0.059669,0.774773,0.536979,0.217235,0.082392,0.855419,1,0.631128,0.385117,0.12003,0.333386,0.314043,0.305418,0.272645,0.012072,0.30067,0.290021,0.344292,0.458565,0.436651,0.365522,0.442166,0.521928,0.385071,0.520282,0.272463,0.448139,0.122091,0.219392,0.397181,0.397166
1.953125,0.38061,0.015968,0.806704,0.66921,0.260225,0.107938,0.908779,1,0.722473,0.376503,0.278398,0.312923,0.511037,0.501274,0.221114,0.019971,0.505685,0.487642,0.496299,0.680787,0.642484,0.550902,0.656697,0.726346,0.600353,0.692447,0.437246,0.64618,0.250731,0.342966,0.582463,0.581679
2.34375,0.641021,0.080646,0.835237,0.697041,0.523166,0.20011,0.942689,1,0.819095,0.321827,0.150722,0.71112,0.424537,0.447313,0.116772,0.030311,0.605561,0.60018,0.492583,0.709236,0.699498,0.643771,0.680921,0.746396,0.666961,0.720069,0.589421,0.716026,0.256307,0.538937,0.67853,0.699286
2.734375,0.613154,0.168105,0.854831,0.701206,0.231379,0.086382,0.958284,1,0.795798,0.482441,0.142138,0.610005,0.207589,0.427551,0.221556,0.05838,0.618398,0.625565,0.486541,0.668289,0.680124,0.657193,0.645974,0.701568,0.634391,0.673382,0.617432,0.694431,0.139407,0.547589,0.671908,0.691593
3.125,0.782627,0.097939,0.867704,0.8128,0.508141,0.243824,0.970905,1,0.850414,0.455479,0.100107,0.638642,0.481162,0.532686,0.042933,0.176418,0.650996,0.635596,0.509313,0.724421,0.718861,0.662901,0.695335,0.751956,0.668399,0.72103,0.595549,0.747484,0.267343,0.455265,0.696441,0.730866
3.515625,0.751688,0.113103,0.886889,0.861683,0.533196,0.268437,0.959867,1,0.83925,0.419179,0.1004,0.703579,0.530108,0.526149,0.056189,0.188657,0.657162,0.648784,0.529752,0.7386,0.70504,0.672756,0.717305,0.76772,0.686527,0.759771,0.593837,0.752498,0.294348,0.461,0.694793,0.725015
3.90625,0.666564,0.260108,0.90411,0.836941,0.578311,0.286232,0.966327,1,0.892305,0.478369,0.293204,0.724084,0.6058,0.632363,0.065276,0.086509,0.754348,0.723474,0.710774,0.849957,0.833017,0.792905,0.841599,0.871762,0.80794,0.830408,0.728251,0.854956,0.434488,0.582791,0.821723,0.832553
4.296875,0.675334,0.298023,0.916029,0.889585,0.662913,0.449566,0.973356,1,0.865295,0.580163,0.249398,0.79156,0.708724,0.720565,0.116951,0.16882,0.717892,0.693373,0.674736,0.803076,0.79271,0.751393,0.787821,0.812651,0.780168,0.783865,0.697901,0.79759,0.337155,0.562511,0.76295,0.774833
4.6875,0.607003,0.243564,0.911909,0.894722,0.543009,0.360715,0.973249,1,0.856838,0.666738,0.313052,0.806356,0.686993,0.691334,0.144777,0.176797,0.64473,0.598317,0.623103,0.741732,0.72653,0.673428,0.72148,0.755992,0.700264,0.709331,0.601797,0.74299,0.349339,0.417959,0.694741,0.712259
5.078125,0.595388,0.094841,0.882653,0.861849,0.516186,0.299864,0.97437,1,0.802863,0.518616,0.207153,0.771386,0.550112,0.583572,0.222119,0.136136,0.608432,0.574922,0.60482,0.695933,0.660232,0.637381,0.678426,0.705362,0.657073,0.670257,0.560655,0.685958,0.388357,0.389065,0.644981,0.653561
5.46875,0.484617,0.114244,0.835219,0.828322,0.608284,0.421489,0.940698,1,0.667353,0.326087,0.025479,0.634493,0.52143,0.494427,0.072851,0.065076,0.502011,0.498882,0.466669,0.545203,0.513327,0.509023,0.534587,0.557342,0.51366,0.495267,0.444869,0.540825,0.156655,0.326731,0.508706,0.50308
5.859375,0.505124,0.242388,0.908801,0.887203,0.550916,0.343461,0.960501,1,0.809195,0.466412,0.044694,0.699821,0.590479,0.594395,0.191352,0.180072,0.615828,0.637925,0.468582,0.600234,0.600889,0.640021,0.599311,0.623158,0.553527,0.538615,0.588905,0.651235,0.052245,0.448128,0.638557,0.637958
6.25,0.494868,0.181946,0.868533,0.812182,0.606371,0.302931,0.941271,1,0.699291,0.383518,0.019466,0.698577,0.569924,0.581549,0.238639,0.183617,0.509584,0.51034,0.433156,0.503277,0.533363,0.535544,0.509857,0.522459,0.485669,0.435767,0.499422,0.553727,0.053072,0.339942,0.54291,0.55746
6.640625,0.551875,0.12895,0.813494,0.738217,0.613108,0.194031,0.944662,1,0.341186,0.081809,0.014872,0.606315,0.608459,0.586247,0.136823,0.199772,0.377157,0.353219,0.300249,0.303236,0.418069,0.381289,0.337106,0.318011,0.332222,0.184475,0.394153,0.390248,0.04224,0.320243,0.397894,0.39826
7.03125,0.589828,0.161148,0.844446,0.772164,0.609068,0.189952,0.939909,1,0.508381,0.172038,0.024206,0.660133,0.695558,0.641967,0.117901,0.149989,0.431571,0.404566,0.396488,0.43274,0.484722,0.385437,0.447228,0.437793,0.323001,0.251985,0.325219,0.453494,0.060849,0.208261,0.408231,0.407524
7.421875,0.53811,0.024963,0.770893,0.701067,0.470268,0.048252,0.925809,1,0.509492,0.10466,0.041773,0.532556,0.555548,0.449253,0.062691,0.078094,0.367784,0.358086,0.205701,0.35108,0.403234,0.349215,0.384799,0.383863,0.313897,0.299636,0.348361,0.414605,0.084107,0.288522,0.378423,0.401081
7.8125,0.772466,0.082309,0.793601,0.754324,0.465015,0.07119,0.923162,1,0.585534,0.066725,0.125727,0.528944,0.493386,0.344164,0.039625,0.145735,0.428,0.449028,0.274323,0.468195,0.447638,0.445192,0.445584,0.474843,0.340815,0.412303,0.415959,0.471015,0.202826,0.397254,0.423218,0.454353
8.203125,0.719658,0.031507,0.764195,0.671077,0.51028,0.137078,0.897766,1,0.625873,0.204103,0.083355,0.623535,0.412215,0.344613,0.071765,0.33215,0.421489,0.426308,0.1686,0.389101,0.422523,0.382634,0.360756,0.41506,0.262793,0.275801,0.401844,0.434209,0.151272,0.382255,0.415487,0.438922
8.59375,0.493351,0.005375,0.772463,0.608117,0.397052,0.085549,0.883678,1,0.567633,0.326743,0.011852,0.596606,0.435002,0.255737,0.089599,0.157681,0.391519,0.414895,0.154285,0.38607,0.383349,0.390536,0.347919,0.432586,0.267099,0.309063,0.378239,0.407221,0.134709,0.383454,0.388482,0.399607
8.984375,0.508624,0.004779,0.765567,0.629789,0.263281,0.0257,0.899299,1,0.495682,0.321234,0.090435,0.398658,0.211243,0.230448,0.115904,0.040155,0.445006,0.450886,0.229926,0.419226,0.491391,0.471391,0.424458,0.479211,0.332989,0.320029,0.462394,0.465278,0.161626,0.440158,0.464072,0.462907
