Frequency Value,FP01,FP02,FP03,FP04,FP05,FP06,FP07,FP08,FP09,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,FP31,FP32
0,0.159215,0.13203,0.001191,0.184214,0.068028,0.165933,0.072088,0.037334,0.03896,0.059177,0.01197,0.20763,0.155174,0.211156,0.01199,0.153406,0.318087,0.596052,0.731892,0.320331,0.456907,0.663156,0.286476,0.325727,0.81197,0.460643,0.357915,0.336168,0.00452,0.473696,1,0.573885
0.390625,0.025438,0.031742,0.054483,0.085453,0.012474,0.067233,0.039216,0.157702,0.091409,0.06482,0.007703,0.019612,0.223418,0.02764,0.052366,0.032644,0.736652,0.811152,0.779576,0.655218,0.81376,0.918542,0.764014,0.73205,0.864063,0.773731,0.821399,0.749793,0.387,0.725307,1,0.82824
0.78125,0.020018,0.079872,0.053644,0.043737,0.010076,0.057579,0.041936,0.058234,0.184125,0.167557,0.152375,0.059117,0.164923,0.003967,0.108535,0.006646,0.851703,0.88858,0.799589,0.790013,0.894315,0.952514,0.866111,0.801206,0.862467,0.788759,0.881036,0.861196,0.408687,0.849003,1,0.916758
1.171875,0.152642,0.034895,0.014541,0.014622,0.100004,0.118492,0.025967,0.099718,0.257511,0.064425,0.189305,0.199188,0.079239,0.032128,0.112834,0.045742,0.929096,0.895513,0.758525,0.813581,0.943122,0.968487,0.872305,0.803548,0.856909,0.732227,0.923918,0.929975,0.176048,0.78148,1,0.961378
1.5625,0.077324,0.115795,0.120402,0.073473,0.014595,0.082469,0.177091,0.208991,0.387578,0.110471,0.136554,0.148252,0.10417,0.066331,0.082325,0.038416,0.954365,0.917214,0.80909,0.809755,0.950042,0.975346,0.877593,0.818683,0.876369,0.75594,0.952019,0.945356,0.14669,0.798101,1,0.976225
1.953125,0.052712,0.015849,0.050905,0.024619,0.067302,0.011182,0.124781,0.356414,0.347611,0.007925,0.114588,0.251894,0.093529,0.027799,0.058417,0.039874,0.924316,0.848651,0.767471,0.812059,0.93423,0.966497,0.874135,0.826515,0.870121,0.736759,0.902069,0.947779,0.011486,0.714275,1,0.973377
2.34375,0.109328,0.016964,0.15371,0.062143,0.042832,0.020265,0.274552,0.426239,0.435843,0.023792,0.120972,0.219223,0.074157,0.02183,0.046963,0.04873,0.926435,0.884802,0.741775,0.870135,0.956571,0.960838,0.919675,0.886368,0.880857,0.798404,0.919567,0.970329,0.090908,0.79377,1,0.978662
2.734375,0.133835,0.049726,0.286627,0.184706,0.062134,0.018192,0.407279,0.341525,0.462413,0.072103,0.117043,0.158302,0.046719,0.036902,0.020633,0.079374,0.946408,0.917248,0.780497,0.873683,0.96664,0.967664,0.933834,0.876782,0.907784,0.784981,0.919295,0.967176,0.065644,0.754,1,0.977803
3.125,0.214547,0.012581,0.124507,0.074532,0.180847,0.005629,0.236238,0.230889,0.30866,0.012478,0.059999,0.327017,0.090268,0.031918,0.051572,0.171654,0.942141,0.90063,0.728397,0.897093,0.970274,0.966805,0.944048,0.917369,0.867036,0.739314,0.93712,0.978813,0.112812,0.809557,1,0.981214
3.515625,0.223145,0.022411,0.112722,0.075154,0.166712,0.011718,0.251092,0.331366,0.33985,0.038197,0.070752,0.255677,0.12895,0.075507,0.113146,0.176493,0.927279,0.848775,0.639106,0.846499,0.956214,0.970736,0.899221,0.877161,0.851632,0.775852,0.952097,0.972685,0.056079,0.759315,1,0.98269
3.90625,0.262514,0.054927,0.293725,0.239565,0.379305,0.142641,0.387492,0.41986,0.421213,0.120327,0.065073,0.292522,0.145731,0.160803,0.007926,0.048764,0.914433,0.842428,0.707615,0.84201,0.957483,0.967594,0.921858,0.888979,0.840986,0.731551,0.944966,0.971247,0.049142,0.764194,1,0.982253
4.296875,0.289717,0.033671,0.283326,0.279301,0.254659,0.095558,0.418192,0.439627,0.456586,0.116835,0.047755,0.32801,0.175625,0.159166,0.015604,0.057355,0.949029,0.904033,0.790169,0.864226,0.978547,0.973212,0.933851,0.908262,0.864934,0.782679,0.957338,0.977022,0.125288,0.833763,1,0.987032
4.6875,0.167014,0.004548,0.185825,0.208811,0.175163,0.05465,0.270264,0.26421,0.349593,0.060328,0.086061,0.253329,0.14903,0.08835,0.013254,0.037095,0.946778,0.875262,0.802021,0.836172,0.959998,0.957889,0.920064,0.875384,0.854679,0.763466,0.940308,0.975024,0.0904,0.725233,1,0.985283
5.078125,0.233432,0.055156,0.319475,0.298562,0.301187,0.18148,0.324659,0.352628,0.472516,0.201334,0.261501,0.306626,0.248325,0.135083,0.050856,0.133907,0.945286,0.903148,0.822701,0.876488,0.962788,0.973992,0.931527,0.907497,0.89597,0.832535,0.960645,0.983454,0.128871,0.819349,1,0.989175
5.46875,0.217904,0.083643,0.325168,0.243405,0.315406,0.159625,0.380137,0.363988,0.555793,0.170706,0.123172,0.398693,0.307657,0.180324,0.107832,0.18777,0.960628,0.938338,0.841597,0.901066,0.972195,0.984571,0.941987,0.918865,0.902748,0.83402,0.967549,0.980166,0.063774,0.849607,1,0.990701
5.859375,0.16306,0.072516,0.386767,0.353952,0.364499,0.310133,0.406107,0.384566,0.574874,0.108986,0.129486,0.4466,0.321454,0.241484,0.094196,0.175519,0.952347,0.919969,0.823389,0.880697,0.967183,0.974298,0.928741,0.905979,0.863181,0.770547,0.965091,0.978784,0.07466,0.818345,1,0.992074
6.25,0.183602,0.16207,0.3773,0.357813,0.378644,0.288186,0.429269,0.437088,0.496382,0.17181,0.112088,0.361643,0.340153,0.23911,0.088546,0.087213,0.951077,0.9101,0.88409,0.92224,0.976691,0.977316,0.95015,0.93958,0.876213,0.830747,0.955488,0.984136,0.060307,0.73782,1,0.992937
6.640625,0.221214,0.095822,0.289044,0.321552,0.452686,0.12411,0.473283,0.496296,0.516222,0.12745,0.04283,0.424923,0.411956,0.237583,0.104857,0.224494,0.953394,0.896687,0.838335,0.912318,0.976315,0.986797,0.934193,0.9329,0.872254,0.833119,0.958984,0.98562,0.018984,0.756919,1,0.994103
7.03125,0.135476,0.154044,0.292282,0.304976,0.338932,0.20693,0.315373,0.333706,0.346065,0.07527,0.038096,0.267599,0.346416,0.292737,0.084905,0.211869,0.945396,0.867662,0.835202,0.885738,0.972326,0.979025,0.924307,0.905139,0.875316,0.796739,0.947159,0.979431,0.024143,0.673739,1,0.990139
7.421875,0.303557,0.062276,0.330218,0.301607,0.470006,0.168516,0.386786,0.388799,0.431901,0.250986,0.208277,0.4684,0.445519,0.401545,0.241205,0.358547,0.948516,0.894913,0.84231,0.893678,0.976053,0.984328,0.932062,0.915998,0.880545,0.810871,0.955487,0.985806,0.05827,0.761631,1,0.99412
7.8125,0.259967,0.106811,0.294874,0.228829,0.396639,0.165823,0.383604,0.35131,0.415585,0.037145,0.095429,0.41432,0.368778,0.279115,0.203924,0.328158,0.955859,0.901641,0.833812,0.892396,0.967894,0.97869,0.922266,0.907208,0.876294,0.803642,0.943694,0.98034,0.019039,0.67299,1,0.990486
8.203125,0.206622,0.102747,0.293091,0.313087,0.381064,0.226935,0.445627,0.387403,0.473109,0.121054,0.1245,0.459107,0.397027,0.316237,0.045281,0.223122,0.938345,0.866957,0.854797,0.876066,0.970698,0.97161,0.922635,0.896382,0.868629,0.795896,0.912196,0.981396,0.129507,0.53332,1,0.990444
8.59375,0.155099,0.109619,0.334724,0.34814,0.381147,0.150966,0.478553,0.47838,0.413537,0.144197,0.077474,0.40851,0.44033,0.462482,0.070599,0.140729,0.956987,0.901206,0.843084,0.883015,0.97291,0.973297,0.921694,0.902083,0.882709,0.855956,0.951038,0.982892,0.095692,0.721619,1,0.990231
